,,,Numero,deCasos,segun,Fecha,deInicio,de,Sintomas.,,NotificacionO,Toma,deMuestra,,,
de Notificacion Toma de Muestra ,Residencia ,SE SE SE ,SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Region O ,Desconocida ,9 10 11 ,12 13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 
Region de Arica y Parinacota ,3 ,O O O ,O O O ,1 ,O ,O O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,1 
Region de Tarapaca ,310 ,O O O ,O O O ,1 ,O ,1 4 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,22 ,18 ,11 
Region de Antofagasta ,144 ,O O O ,O O O ,O ,O ,5 O ,1 ,1 ,O ,O ,6 ,10 ,42 ,32 ,34 ,13 
Region de Atacama ,12 ,0 O O ,O O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 ,O 
Region de Coquimbo ,159 ,O O O ,1 O 3 ,1 ,1 ,1 2 ,1 ,3 ,10 ,8 ,9 ,29 ,14 ,24 ,20 ,32 
Region de Valparaiso ,382 ,O O O ,2 3 2 ,1 ,1 ,O O ,11 ,8 ,5 ,42 ,29 ,38 ,66 ,59 ,84 ,31 
Region Metropolitana de Santiago ,18896 ,O O 6 ,11 15 55 ,175 ,362 ,598 779 ,1645 ,2612 ,2876 ,2127 ,1781 ,1720 ,1742 ,1155 ,878 ,359 
Region del Libertador General Bernardo OHiggins ,86 ,0 O O ,O O O ,2 ,O ,O O ,1 ,2 ,12 ,O ,8 ,4 ,22 ,12 ,9 ,14 
Region del Maule ,45 ,O 0 O ,1 0 0 ,O ,0 ,1 O ,0 ,1 ,O ,4 ,7 ,7 ,12 ,5 ,1 ,6 
Region del Nuble ,1 ,O O O ,O O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,1 
Region del Biobio ,145 ,O O O ,1 O O ,O ,O ,O O ,2 ,4 ,6 ,7 ,10 ,12 ,35 ,44 ,11 ,13 
Region de la Araucania ,8 ,0 0 0 ,0 2 O ,0 ,0 ,O O ,1 ,O ,1 ,1 ,0 ,1 ,2 ,O ,0 ,0 
Region de Los Rios ,6 ,O O 1 ,O O O ,1 ,1 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O ,O ,O 
Region de Los Lagos ,52 ,O O 9 ,10 3 1 ,O ,O ,3 O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,5 ,6 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 ,O O O ,0 ,O ,O O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O 
Region de Magallanes y la Antartica Chilena ,70 ,0 O O ,1 O 1 ,42 ,14 ,4 2 ,1 ,O ,O ,0 ,O ,1 ,1 ,1 ,1 ,1 
