Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,113 ,266.1 ,2 ,4.7 ,1 ,2.4 ,1 ,2.4 
Calbuco ,& 36744 ,285 ,775.6 ,4 ,10.9 ,45 ,122.5 ,45 ,122.5 
Castro ,47607 ,31 ,65.1 ,O ,0.0 ,2 ,4.2 ,2 ,4.2 
Chaiten ,5020 ,15 ,298.8 ,0 ,0.0 ,3 ,59.8 ,3 ,59.8 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,4006 ,23 ,574.1 ,0 ,0.0 ,1 ,25.0 ,1 ,25.0 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,8 ,53.1 ,1 ,6.6 ,O ,0.0 ,O ,0.0 
Fresia ,12656 ,88 ,695.3 ,2 ,15.8 ,19 ,150.1 ,19 ,150.1 
Frutillar ,& 20223 ,248 ,1226.3 ,0 ,0.0 ,55 ,272.0 ,55 ,272.0 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,22 ,231.0 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Llanquihue ,18621 ,182 ,977.4 ,1 ,5.4 ,25 ,134.3 ,25 ,134.3 
Los Muermos ,& 17817 ,101 ,566.9 ,O ,0.0 ,28 ,157.2 ,28 ,157.2 
Maullin ,14894 ,137 ,919.8 ,O ,0.0 ,41 ,275.3 ,41 ,275.3 
Osorno ,& 173410 ,1043 ,601.5 ,18 ,10.4 ,168 ,96.9 ,168 ,96.9 
Palena ,1827 ,1 ,54.7 ,O ,0.0 ,1 ,54.7 ,1 ,54.7 
Puerto Montt ,& 269398 ,2778 ,1031.2 ,19 ,7.1 ,387 ,143.7 ,386 ,143.3 
Puerto Octay ,9192 ,49 ,533.1 ,0 ,0.0 ,10 ,108.8 ,10 ,108.8 
Puerto Varas ,& 48620 ,250 ,514.2 ,3 ,6.2 ,38 ,78.2 ,38 ,78.2 
Puqueldon ,4201 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
