Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,NO ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,2302 ,1.7 ,379.5 ,2095 ,1.7 ,358.8 ,4397 ,1.7 ,369.4 
05 09 anos ,1772 ,1.3 ,271.4 ,1657 ,1.3 ,263.2 ,3429 ,1.3 ,267.4 
10 14 anos ,2054 ,1.6 ,319.0 ,2060 ,1.7 ,331.5 ,4114 ,1.6 ,325.1 
15 19 anos ,3640 ,2.8 ,568.2 ,4117 ,3.3 ,664.6 ,7757 ,3.0 ,615.6 
20 24 anos ,10344 ,7.8 ,1411.2 ,10152 ,8.3 ,1429.5 ,20496 ,8.0 ,1420.2 
25 29 anos ,16776 ,12.7 ,2003.5 ,16213 ,13.2 ,1997.2 ,32989 ,12.9 ,2000.4 
30 34 anos ,17023 ,12.9 ,2101.0 ,15087 ,12.3 ,1919.5 ,32110 ,12.6 ,2011.6 
35 39 anos ,14139 ,10.7 ,1949.3 ,12097 ,9.8 ,1704.1 ,26236 ,10.3 ,1828.0 
40 44 anos ,11641 ,8.8 ,1723.9 ,10081 ,8.2 ,1500.8 ,21722 ,8.5 ,1612.6 
45 49 anos ,11327 ,8.6 ,1794.7 ,10661 ,8.7 ,1664.8 ,21988 ,8.6 ,1729.3 
50 54 anos ,10867 ,8.2 ,1808.0 ,9926 ,8.1 ,1592.3 ,20793 ,8.1 ,1698.2 
55 59 anos ,10188 ,7.7 ,1836.1 ,8959 ,7.3 ,1516.9 ,19147 ,7.5 ,1671.5 
60 64 anos ,7494 ,5.7 ,1591.0 ,6232 ,5.1 ,1202.2 ,13726 ,5.4 ,1387.3 
65 69 anos ,4657 ,3.5 ,1229.0 ,4074 ,3.3 ,935.1 ,8731 ,3.4 ,1071.8 
70 74 anos ,3232 ,2.4 ,1223.9 ,3103 ,2.5 ,971.8 ,6335 ,2.5 ,1085.9 
75 79 anos ,2248 ,1.7 ,1274.4 ,2339 ,1.9 ,985.3 ,4587 ,1.8 ,1108.5 
80 y mas anos ,2613 ,2.0 ,1329.6 ,4191 ,3.4 ,1196.4 ,6804 ,2.7 ,1244.3 
Total ,132317 ,100 ,1378.4 ,123044 ,100 ,1248.0 ,255361 ,100 ,1312.3 
