,,,,,,,Numero,deCasos,segunFechade,IniciodeSintomas.NotificacionoTomadeMuestra
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
Corral ,5447 ,22 ,403.9 ,0 ,0.0 ,3 ,55.1 ,3 ,55.1 ,0 O O 0 0 0 O 1 O 0 6 4 2 2 5 
Futrono ,15261 ,56 ,366.9 ,0 ,0.0 ,5 ,32.8 ,5 ,32.8 ,0 O O 1 3 1 0 0 O 0 1 5 19 8 15 
La Union& ,39538 ,76 ,192.2 ,2 ,5.1 ,16 ,40.5 ,16 ,40.5 ,0 O 1 5 8 4 6 9 4 2 2 2 2 6 11 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 1 1 0 O 0 O 0 O 0 0 0 0 
Lanco ,17652 ,23 ,130.3 ,0 ,0.0 ,13 ,73.6 ,13 ,73.6 ,0 0 0 0 1 2 1 2 O 3 O 0 0 1 3 
Los Lagos ,20518 ,59 ,287.6 ,1 ,4.9 ,30 ,146.2 ,30 ,146.2 ,0 O 0 0 0 0 O 0 0 0 O 1 12 11 14 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,14 ,189.5 ,14 ,189.5 ,0 0 O 1 O 0 O 1 O 0 O 1 2 0 2 
Mariquina& ,23250 ,19 ,81.7 ,0 ,0.0 ,2 ,8.6 ,2 ,8.6 ,0 O O 3 1 4 1 O O 0 2 1 3 2 0 
Paillaco ,20798 ,26 ,125.0 ,0 ,0.0 ,1 ,4.8 ,1 ,4.8 ,0 O 0 1 O 0 O O O O O 8 13 3 0 
Panguipulli ,35991 ,36 ,100.0 ,1 ,2.8 ,5 ,13.9 ,5 ,13.9 ,0 O 0 0 O 0 0 0 O 1 O 4 4 8 18 
Rio Bueno ,32925 ,19 ,57.7 ,0 ,0.0 ,1 ,3.0 ,1 ,3.0 ,0 O 0 3 1 3 2 1 2 1 0 0 3 1 1 
Valdivia8 ,176774 ,243 ,137.5 ,6 ,3.4 ,42 ,23.8 ,42 ,23.8 ,0 1 1 25 32 25 18 8 8 4 2 10 30 24 16 
Desconocido ,- ,5 ,- ,0 ,- ,1 ,- ,1 ,- ,0 0 1 0 0 0 1 1 O 0 0 0 0 1 0 
Total ,405835 ,606 ,149.3 ,10 ,2.5 ,133 ,32.8 ,133 ,32.8 ,0 1 3 40 47 39 29 23 14 11 13 36 90 67 85 
