Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& ,44143 ,379 ,858.6 ,7 ,15.9 ,56 ,126.9 ,56 ,126.9 
Chanco ,,9331 ,39 ,418.0 ,0 ,0.0 ,9 ,96.5 ,9 ,96.5 
Colbun ,& ,22565 ,154 ,682.5 ,0 ,0.0 ,18 ,79.8 ,18 ,79.8 
Constitucion ,& ,50348 ,253 ,502.5 ,3 ,6.0 ,43 ,85.4 ,43 ,85.4 
Curepto ,,9426 ,40 ,424.4 ,2 ,21.2 ,3 ,31.8 ,3 ,31.8 
Curico ,& ,163626 ,1781 ,1088.5 ,27 ,16.5 ,204 ,124.7 ,204 ,124.7 
Empedrado ,,4206 ,29 ,689.5 ,0 ,0.0 ,3 ,71.3 ,3 ,71.3 
Hualane ,,10222 ,113 ,1105.5 ,2 ,19.6 ,O ,0.0 ,O ,0.0 
Licanten ,,6989 ,20 ,286.2 ,1 ,14.3 ,1 ,14.3 ,1 ,14.3 
Linares ,& ,101073 ,571 ,564.9 ,7 ,6.9 ,104 ,102.9 ,104 ,102.9 
Longavi ,,32810 ,250 ,762.0 ,2 ,6.1 ,38 ,115.8 ,38 ,115.8 
Maule ,& ,60000 ,347 ,578.3 ,2 ,3.3 ,74 ,123.3 ,74 ,123.3 
Molina ,& ,49800 ,230 ,461.8 ,8 ,16.1 ,38 ,76.3 ,37 ,74.3 
Parra ,& ,44544 ,254 ,570.2 ,2 ,4.5 ,20 ,44.9 ,20 ,44.9 
Pelarco ,,9083 ,59 ,649.6 ,1 ,11.0 ,17 ,187.2 ,17 ,187.2 
Pelluhue ,& ,8092 ,60 ,741.5 ,2 ,24.7 ,1 ,12.4 ,1 ,12.4 
Pencahue ,& ,8601 ,52 ,604.6 ,0 ,0.0 ,16 ,186.0 ,16 ,186.0 
Rauco ,,11248 ,82 ,729.0 ,O ,0.0 ,22 ,195.6 ,22 ,195.6 
Retiro ,,21071 ,132 ,626.5 ,O ,0.0 ,4 ,19.0 ,4 ,19.0 
Rio Claro ,,14753 ,75 ,508.4 ,5 ,33.9 ,6 ,40.7 ,6 ,40.7 
Romeral ,& ,16170 ,226 ,1397.6 ,3 ,18.6 ,10 ,61.8 ,10 ,61.8 
