,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.NotificacionoTomadeMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE SE SE SE SE SE SE SE 12 13 14 15 16 17 18 19 20 21 22 ,SE SE 23 24 ,SE SE 25 26 
Alto del Carmen ,5729 ,6 ,104.7 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 ,O 0 0 0 0 0 O O O O 1 ,3 1 ,1 O 
Caldera ,19426 ,40 ,205.9 ,0 ,0.0 ,19 ,97.8 ,19 ,97.8 ,0 0 0 ,0 0 O 0 0 0 2 2 1 1 3 ,2 7 ,5 16 
Chanaral ,13164 ,24 ,182.3 ,0 ,0.0 ,7 ,53.2 ,7 ,53.2 ,0 0 0 ,O 0 0 0 0 O 0 0 O 1 O ,2 7 ,12 2 
Copiapo& ,171766 ,670 ,390.1 ,1 ,0.6 ,201 ,117.0 ,201 ,117.0 ,0 0 1 ,O 2 1 4 0 12 28 27 14 26 57 ,112 123 ,146 114 
Diego de Almagro ,14358 ,37 ,257.7 ,1 ,7.0 ,7 ,48.8 ,7 ,48.8 ,1 0 O ,O 1 0 O O O 1 1 4 3 6 ,4 8 ,4 4 
Freirina ,7681 ,16 ,208.3 ,0 ,0.0 ,8 ,104.2 ,8 ,104.2 ,0 0 0 ,O 0 0 O 1 0 O O 0 O 0 ,2 1 ,7 5 
Huasco ,11264 ,21 ,186.4 ,0 ,0.0 ,5 ,44.4 ,5 ,44.4 ,0 0 0 ,0 0 0 0 O 0 1 0 0 0 2 ,6 3 ,4 5 
Tierra Amarilla ,14312 ,69 ,482.1 ,0 ,0.0 ,13 ,90.8 ,13 ,90.8 ,0 0 O ,O 0 2 3 0 2 5 10 2 0 1 ,10 15 ,14 5 
Vallenar ,57009 ,262 ,459.6 ,O ,0.0 ,97 ,170.1 ,97 ,170.1 ,O 0 O ,O 0 0 1 9 12 9 13 2 6 15 ,27 54 ,67 47 
Desconocido& ,- ,26 ,- ,O ,- ,25 ,- ,25 ,,O 0 O ,O O 0 0 O O O O O O O ,O 0 ,9 1 
Total ,314709 ,1171 ,372.1 ,2 ,0.6 ,382 ,121.4 ,382 ,121.4 ,1 0 1 ,0 3 3 8 10 26 46 53 23 37 85 ,168 219 ,269 199 
