,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE SE SE SE 15 16 17 18 19 
Alto Biobio ,6775 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O O 
Antuco ,4306 ,1 ,23.2 ,1 ,23.2 ,1 ,23.2 ,O O O ,O O ,O ,O O O O 1 
Arauco ,38679 ,11 ,28.4 ,5 ,12.9 ,5 ,12.9 ,0 O 1 ,2 2 ,1 ,O 0 O 4 1 
Cabrero& ,30725 ,22 ,71.6 ,6 ,19.5 ,6 ,19.5 ,0 O O ,1 O ,4 ,3 7 1 3 3 
Canete ,37003 ,1 ,2.7 ,1 ,2.7 ,1 ,2.7 ,O O O ,O O ,O ,O O O O 1 
Chiguayante ,91180 ,71 ,77.9 ,8 ,8.8 ,8 ,8.8 ,O 0 5 ,5 9 ,16 ,11 10 10 5 O 
Concepcion8 ,238092 ,159 ,66.8 ,23 ,9.7 ,23 ,9.7 ,1 1 6 ,28 28 ,22 ,21 18 13 16 5 
Contulmo ,6330 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,0 O ,O ,O 0 O O 0 
Coronel8 ,125829 ,29 ,23.0 ,7 ,5.6 ,7 ,5.6 ,0 O 1 ,6 6 ,4 ,1 0 5 1 5 
Curanilahue ,33892 ,3 ,8.9 ,2 ,5.9 ,2 ,5.9 ,0 0 0 ,1 O ,O ,O 0 O 1 1 
Florida ,11841 ,3 ,25.3 ,O ,0.0 ,O ,0.0 ,0 O 0 ,O 2 ,1 ,O O O O 0 
Hualpen& ,97273 ,120 ,123.4 ,9 ,9.3 ,9 ,9.3 ,O 0 3 ,23 33 ,26 ,17 8 2 5 3 
Hualqui ,26201 ,20 ,76.3 ,O ,0.0 ,O ,0.0 ,O O 1 ,1 2 ,3 ,4 9 O O O 
Laja ,23873 ,15 ,62.8 ,3 ,12.6 ,3 ,12.6 ,O 1 1 ,O 3 ,O ,1 1 5 1 2 
Lebu ,27100 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,O O ,O ,O 0 O O 0 
Los Alamos ,22524 ,1 ,4.4 ,O ,0.0 ,O ,0.0 ,0 0 0 ,O O ,O ,1 O O O O 
Los Angeles ,218515 ,33 ,15.1 ,2 ,0.9 ,2 ,0.9 ,O 0 3 ,6 9 ,6 ,4 3 O O 2 
Lota ,45750 ,9 ,19.7 ,8 ,17.5 ,8 ,17.5 ,O 0 0 ,1 O ,O ,O O O 1 7 
Mulchen ,31041 ,7 ,22.6 ,2 ,6.4 ,2 ,6.4 ,O O O ,1 4 ,O ,O 0 O 1 1 
Nacimiento ,27944 ,16 ,57.3 ,5 ,17.9 ,5 ,17.9 ,0 0 O ,2 3 ,3 ,2 0 1 2 3 
Negrete ,10429 ,2 ,19.2 ,O ,0.0 ,O ,0.0 ,0 0 0 ,0 O ,2 ,O 0 O 0 0 
Penco ,49865 ,20 ,40.1 ,2 ,4.0 ,2 ,4.0 ,O O O ,1 3 ,3 ,3 8 O 2 O 
