,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Alto Biobio ,6775 ,1 ,14.8 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,1 ,0 ,O ,0 ,0 
Antuco ,4306 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,0 ,O ,O ,0 
Arauco ,38679 ,6 ,15.5 ,O ,0.0 ,O ,0.0 ,0 ,O ,1 ,1 ,2 ,2 ,O ,O 
Cabrero ,30725 ,9 ,29.3 ,5 ,16.3 ,5 ,16.3 ,0 ,O ,0 ,1 ,0 ,4 ,3 ,1 
Canete ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 
Chiguayante & ,91180 ,39 ,42.8 ,9 ,9.9 ,8 ,8.8 ,0 ,O ,3 ,6 ,6 ,18 ,6 ,O 
Concepcion ,238092 ,142 ,59.6 ,43 ,18.1 ,42 ,17.6 ,O ,1 ,7 ,33 ,35 ,32 ,26 ,8 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,O ,0 ,O 
Coronel & ,125829 ,15 ,11.9 ,2 ,1.6 ,2 ,1.6 ,0 ,O ,0 ,3 ,7 ,4 ,1 ,0 
Curanilahue ,33892 ,1 ,3.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,0 ,0 ,0 ,O 
Florida ,11841 ,4 ,33.8 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,O 
Hualpen & ,97273 ,70 ,72.0 ,19 ,19.5 ,18 ,18.5 ,0 ,1 ,O ,5 ,26 ,26 ,9 ,3 
Hualqui ,26201 ,13 ,49.6 ,6 ,22.9 ,6 ,22.9 ,0 ,O ,1 ,1 ,2 ,6 ,1 ,2 
Laja ,23873 ,7 ,29.3 ,1 ,4.2 ,1 ,4.2 ,0 ,1 ,1 ,0 ,4 ,O ,1 ,0 
Lebu ,27100 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,O ,0 ,0 ,0 
Los Alamos ,22524 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,0 
Los Angeles ,218515 ,26 ,11.9 ,2 ,0.9 ,2 ,0.9 ,0 ,O ,2 ,4 ,12 ,6 ,2 ,O 
Lota ,45750 ,1 ,2.2 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,0 ,0 ,0 ,0 
Mulchen ,31041 ,5 ,16.1 ,O ,0.0 ,O ,0.0 ,0 ,O ,0 ,1 ,4 ,0 ,O ,O 
Nacimiento ,27944 ,10 ,35.8 ,3 ,10.7 ,3 ,10.7 ,0 ,0 ,0 ,2 ,3 ,3 ,2 ,0 
