,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE SE SE SE SE 15 16 17 18 19 20 
Ancud ,42458 ,60 ,141.3 ,34 ,80.1 ,34 ,80.1 ,O O 0 ,O 1 ,O ,6 3 1 21 19 9 
Calbuco ,36744 ,8 ,21.8 ,1 ,2.7 ,1 ,2.7 ,O O O ,3 1 ,1 ,1 1 0 O 1 O 
Castro ,47607 ,8 ,16.8 ,1 ,2.1 ,1 ,2.1 ,O O O ,2 O ,5 ,O O O O 1 O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 ,O ,O O O O O O 
Chonchi ,16013 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O O O 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,1 O 0 O O 0 
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O 0 O O 0 
Dalcahue ,15069 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O ,O O ,O ,O O O O O 0 
Fresia ,12656 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 ,O O ,O ,O O O O 0O 0 
Frutillar ,20223 ,7 ,34.6 ,1 ,4.9 ,1 ,4.9 ,O O O ,O 1 ,3 ,2 O O O 1 O 
Futaleufu ,2806 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O O O 
Hualaihue ,9525 ,3 ,31.5 ,O ,0.0 ,O ,0.0 ,O O O ,O 3 ,O ,O O 0 O O O 
Llanquihue ,18621 ,6 ,32.2 ,5 ,26.9 ,5 ,26.9 ,O O O ,O 1 ,O ,O O O O 5 0 
Los Muermos ,17817 ,2 ,11.2 ,1 ,5.6 ,1 ,5.6 ,O O O ,1 O ,O ,O O 0 O 1 0 
Maullin ,14894 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,1 O 0 O O O 
Osorno ,173410 ,340 ,196.1 ,26 ,15.0 ,26 ,15.0 ,O O 3 ,58 104 ,66 ,37 18 15 19 13 7 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O 0 O 
Puerto Montt ,269398 ,62 ,23.0 ,9 ,3.3 ,9 ,3.3 ,O 1 1 ,13 18 ,11 ,3 5 O 1 4 5 
Puerto Octay ,9192 ,5 ,54.4 ,2 ,21.8 ,2 ,21.8 ,O O O ,1 O ,O ,O 1 1 0 2 0 
Puerto Varas ,48620 ,8 ,16.5 ,O ,0.0 ,O ,0.0 ,O O 1 ,O 2 ,3 ,2 O O O O O 
Puqueldon ,4201 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O O 0 
