,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE SE SE 20 21 22 
Aisen ,25002 ,4 ,16.0 ,1 ,4.0 ,1 ,4.0 ,0 O 1 O O O 0 O 0 O 0 ,O 1 2 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O O O O O 1 O O O 0 0 ,O 0 O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O 0 0 0 O O O O 0 ,0 0 O 
Cochrane ,3685 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O O O O 0 ,O 0 O 
Coyhaique ,61210 ,12 ,19.6 ,4 ,6.5 ,4 ,6.5 ,O O 1 O O 1 O O O O 1 ,0 5 3 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O O O O 0 ,O O O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O 0 O O O O 0 ,O O O 
O'Higgins ,661 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 0 0 0 0 0 0 0 ,0 0 O 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O 0 O O O O O O ,O O O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 0 O O O O O O 0 ,O 0 O 
Total ,107297 ,17 ,15.8 ,5 ,4.7 ,5 ,4.7 ,0 0 2 0 0 2 0 0 0 0 1 ,0 6 5 
