,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Cauquenes ,44.143 ,4 ,"9,1 ",2 ,"4,5 ",2 ,"4,5 ",0 ,O ,0 ,0 ,2 ,2 ,0 ,0 
Chanco ,9.331 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,O ,O ,0 ,0 ,O ,0 ,O 
Colbun ,22.565 ,5 ,"22,2 ",1 ,"4,4 ",1 ,"4,4 ",0 ,0 ,O ,O ,1 ,4 ,0 ,0 
Constitucion ,50.348 ,4 ,"7,9 ",1 ,"2,0 ",1 ,"2,0 ",O ,0 ,O ,0 ,0 ,3 ,1 ,O 
Curepto ,9.426 ,3 ,"31,8 ",3 ,"31,8 ",2 ,"21,2 ",0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 
Curico ,163.626 ,23 ,"14,1 ",8 ,"4,9 ",8 ,"4,9 ",O ,O ,1 ,4 ,4 ,5 ,8 ,1 
Empedrado ,4.206 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,0 ,O ,O ,0 ,O ,0 ,O 
Hualane ,10.222 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,O ,O ,0 ,O ,0 ,O 
Licanten ,6.989 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,O ,O ,0 ,O ,0 ,0 
Linares ,101.073 ,13 ,"12,9 ",3 ,"3,0 ",3 ,"3,0 ",0 ,O ,0 ,1 ,4 ,7 ,1 ,O 
Longavi ,32.810 ,2 ,"6,1 ",1 ,"3,0 ",O ,"0,0 ",0 ,0 ,O ,1 ,0 ,O ,1 ,O 
Maule ,60.000 ,5 ,"8,3 ",2 ,"3,3 ",2 ,"3,3 ",O ,O ,O ,1 ,1 ,O ,1 ,2 
Molina ,49.800 ,3 ,"6,0 ",0 ,"0,0 ",O ,"0,0 ",0 ,0 ,0 ,0 ,1 ,2 ,0 ,0 
Parral ,44.544 ,6 ,"13,5 ",2 ,"4,5 ",2 ,"4,5 ",O ,O ,O ,1 ,3 ,O ,2 ,O 
Pelarco ,9.083 ,3 ,"33,0 ",3 ,"33,0 ",3 ,"33,0 ",0 ,0 ,O ,0 ,0 ,O ,3 ,O 
Pelluhue ,8.092 ,1 ,"12,4 ",O ,"0,0 ",O ,"0,0 ",0 ,0 ,O ,O ,1 ,0 ,0 ,O 
Pencahue ,8.601 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",O ,O ,O ,0 ,0 ,O ,0 ,O 
Rauco ,11.248 ,2 ,"17,8 ",1 ,"8,9 ",1 ,"8,9 ",0 ,0 ,O ,O ,1 ,1 ,0 ,O 
Retiro ,21.071 ,1 ,"4,7 ",1 ,"4,7 ",1 ,"4,7 ",O ,O ,O ,O ,0 ,O ,0 ,1 
