Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,2565 ,1.8 ,422.9 ,2304 ,1.7 ,394.6 ,4869 ,1.7 ,409.0 
05 09 anos ,1981 ,1.4 ,303.4 ,1868 ,1.4 ,296.7 ,3849 ,1.4 ,300.1 
10 14 anos ,2307 ,1.6 ,358.3 ,2346 ,1.7 ,377.5 ,4653 ,1.7 ,367.7 
15 19 anos ,4088 ,2.8 ,638.1 ,4627 ,3.4 ,747.0 ,8715 ,3.1 ,691.6 
20 24 anos ,11420 ,7.8 ,1558.0 ,11208 ,8.3 ,1578.2 ,22628 ,8.0 ,1567.9 
25 29 anos ,18389 ,12.6 ,2196.1 ,17766 ,13.1 ,2188.5 ,36155 ,12.8 ,2192.3 
30 34 anos ,18717 ,12.8 ,2310.1 ,16546 ,12.2 ,2105.1 ,35263 ,12.5 ,2209.2 
35 39 anos ,15565 ,10.7 ,2145.8 ,13271 ,9.8 ,1869.5 ,28836 ,10.2 ,2009.1 
40 44 anos ,12870 ,8.8 ,1905.9 ,11115 ,8.2 ,1654.7 ,23985 ,8.5 ,1780.6 
45 49 anos ,12469 ,8.5 ,1975.6 ,11658 ,8.6 ,1820.5 ,24127 ,8.6 ,1897.5 
50 54 anos ,11944 ,8.2 ,1987.2 ,10969 ,8.1 ,1759.6 ,22913 ,8.1 ,1871.3 
55 59 anos ,11169 ,7.7 ,2012.9 ,9876 ,7.3 ,1672.2 ,21045 ,7.5 ,1837.2 
60 64 anos ,8304 ,5.7 ,1762.9 ,6861 ,5.1 ,1323.6 ,15165 ,5.4 ,1532.8 
65 69 anos ,5138 ,3.5 ,1356.0 ,4506 ,3.3 ,1034.2 ,9644 ,3.4 ,1183.9 
70 74 anos ,3591 ,2.5 ,1359.8 ,3428 ,2.5 ,1073.6 ,7019 ,2.5 ,1203.1 
75 79 anos ,2473 ,1.7 ,1402.0 ,2575 ,1.9 ,1084.7 ,5048 ,1.8 ,1220.0 
80 y mas anos ,2904 ,2.0 ,1477.7 ,4640 ,3.4 ,1324.5 ,7544 ,2.7 ,1379.6 
Total ,145894 ,100 ,1519.9 ,135564 ,100 ,1375.0 ,281458 ,100 ,1446.5 
