,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3651 ,1.9 ,602.0 ,3349 ,1.8 ,573.6 ,7000 ,1.8 ,588.0 
05 09 anos ,2966 ,1.5 ,454.3 ,2787 ,1.5 ,442.7 ,5753 ,1.5 ,448.6 
10 14 anos ,3361 ,1.7 ,522.0 ,3475 ,1.9 ,559.2 ,6836 ,1.8 ,540.3 
15 19 anos ,5841 ,3.0 ,911.8 ,6604 ,3.6 ,1066.1 ,12445 ,3.3 ,987.6 
20 24 anos ,15259 ,7.7 ,2081.7 ,15236 ,8.2 ,2145.4 ,30495 ,8.0 ,2113.0 
25 29 anos ,24255 ,12.3 ,2896.6 ,23734 ,12.8 ,2923.7 ,47989 ,12.6 ,2909.9 
30 34 anos ,24845 ,12.6 ,3066.4 ,22140 ,12.0 ,2816.9 ,46985 ,12.3 ,2943.5 
35 39 anos ,20473 ,10.4 ,2822.5 ,17669 ,9.5 ,2489.0 ,38142 ,10.0 ,2657.5 
40 44 anos ,17231 ,8.7 ,2551.7 ,14980 ,8.1 ,2230.1 ,32211 ,8.4 ,2391.3 
45 49 anos ,16846 ,8.6 ,2669.1 ,15642 ,8.4 ,2442.7 ,32488 ,8.5 ,2555.1 
50 54 anos ,16047 ,8.1 ,2669.9 ,14900 ,8.0 ,2390.2 ,30947 ,8.1 ,2527.5 
55 59 anos ,15071 ,7.7 ,2716.2 ,13520 ,7.3 ,2289.1 ,28591 ,7.5 ,2496.0 
60 64 anos ,11297 ,5.7 ,2398.4 ,9600 ,5.2 ,1852.0 ,20897 ,5.5 ,2112.1 
65 69 anos ,7142 ,3.6 ,1884.8 ,6394 ,3.5 ,1467.6 ,13536 ,3.5 ,1661.7 
70 74 anos ,5059 ,2.6 ,1915.7 ,4822 ,2.6 ,1510.1 ,9881 ,2.6 ,1693.7 
75 79 anos ,3438 ,1.7 ,1949.0 ,3707 ,2.0 ,1561.6 ,7145 ,1.9 ,1726.7 
80 y mas anos ,4191 ,2.1 ,2132.6 ,6583 ,3.6 ,1879.2 ,10774 ,2.8 ,1970.3 
Total ,196973 ,100 ,2052.0 ,185142 ,100 ,1877.9 ,382115 ,100 ,1963.8 
