,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 
Cauquenes ,44143 ,44 ,99.7 ,22 ,49.8 ,22 ,49.8 ,0 O O 0 2 3 1 ,5 2 1 3 ,11 ,10 6 
Chanco ,9331 ,3 ,32.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 1 0 0 ,1 1 0 O ,O ,O O 
Colbun ,22565 ,32 ,141.8 ,16 ,70.9 ,16 ,70.9 ,0 O O 0 3 3 0 ,O O 1 4 ,10 ,11 O 
Constitucion ,50348 ,33 ,65.5 ,5 ,9.9 ,5 ,9.9 ,0 O O O 3 3 5 ,7 4 1 2 ,3 ,5 O 
Curepto ,9426 ,12 ,127.3 ,O ,0.0 ,O ,0.0 ,0 O 0 0 0 3 2 ,3 O 1 1 ,2 ,O O 
Curico ,163626 ,231 ,141.2 ,132 ,80.7 ,131 ,80.1 ,0 1 3 3 6 3 12 ,9 10 9 17 ,41 ,109 8 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O 0 0 O ,O O O O ,O ,O O 
Hualane ,10222 ,18 ,176.1 ,16 ,156.5 ,16 ,156.5 ,0 O O 0 O 0 O ,1 O O O ,3 ,12 2 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,0 ,0.0 ,0 O O 0 0 1 0 ,1 O O O ,0 ,O O 
Linares ,101073 ,75 ,74.2 ,19 ,18.8 ,19 ,18.8 ,1 O O 2 5 5 4 ,6 3 4 12 ,17 ,12 4 
Longavi ,32810 ,27 ,82.3 ,10 ,30.5 ,10 ,30.5 ,O O O 1 O 1 1 ,1 O 2 5 ,9 ,5 2 
Maule ,60000 ,50 ,83.3 ,13 ,21.7 ,13 ,21.7 ,0 O O 1 1 2 6 ,12 2 O 3 ,12 ,9 2 
Molina ,49800 ,20 ,40.2 ,9 ,18.1 ,9 ,18.1 ,0 0 O 1 2 0 1 ,3 O 0 1 ,4 ,8 O 
Parral8 ,44544 ,56 ,125.7 ,38 ,85.3 ,38 ,85.3 ,0 0 O 1 3 2 2 ,1 O 0 6 ,5 ,35 1 
Pelarco ,9083 ,19 ,209.2 ,5 ,55.0 ,5 ,55.0 ,O O O O O 0 3 ,2 O 2 4 ,5 ,3 O 
Pelluhue ,8092 ,10 ,123.6 ,2 ,24.7 ,2 ,24.7 ,0 0 O 1 0 0 1 ,O O 0 1 ,6 ,1 O 
Pencahue ,8601 ,12 ,139.5 ,9 ,104.6 ,9 ,104.6 ,O O O O O 0 O ,3 O O O ,0 ,8 1 
Rauco ,11248 ,10 ,88.9 ,6 ,53.3 ,6 ,53.3 ,O O O O 1 1 0 ,1 O O 1 ,1 ,5 O 
Retiro ,21071 ,13 ,61.7 ,11 ,52.2 ,11 ,52.2 ,0 O O O O 0 1 ,O O 1 O ,1 ,9 1 
Rio Claro ,14753 ,14 ,94.9 ,1 ,6.8 ,1 ,6.8 ,0 O O 2 0 1 1 ,3 2 0 2 ,2 ,1 O 
