,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE 16 ,SE SE 17 18 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O ,O O 
Cabo de Hornos ,1983 ,19 ,958.1 ,O ,0.0 ,0 ,0.0 ,O O 2 7 ,7 ,1 2 ,O ,O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,0 ,O O 
Natales ,23782 ,8 ,33.6 ,O ,0.0 ,O ,0.0 ,O O 1 3 ,2 ,O 2 ,O ,O O 
Porvenir ,7323 ,8 ,109.2 ,O ,0.0 ,O ,0.0 ,O O O O ,3 ,1 2 ,2 ,O O 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O 1 ,O ,O O 
Punta Arenas & ,141984 ,685 ,482.4 ,97 ,68.3 ,96 ,67.6 ,2 1 6 61 ,121 ,145 149 ,129 ,58 13 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,O ,O O 
San Gregorio ,681 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O ,O ,O O ,0 ,O O 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,O ,O O 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O ,O O 
Total ,178362 ,721 ,404.2 ,97 ,54.4 ,96 ,53.8 ,2 1 9 71 ,133 ,147 156 ,131 ,58 13 
