,,,,,,NumerodeCasos,segunFechade,IniciodeSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 
Bulnes ,22607 ,62 ,274.3 ,3 ,13.3 ,3 ,13.3 ,O O O 9 ,27 10 ,7 7 1 1 
Chillan & ,198624 ,414 ,208.4 ,19 ,9.6 ,19 ,9.6 ,O 1 28 118 ,119 75 ,33 24 14 2 
Chillan Viejo ,33827 ,55 ,162.6 ,1 ,3.0 ,1 ,3.0 ,O O 5 6 ,20 7 ,13 3 1 0 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,0 O ,O O O 0 
Coelemu ,16845 ,4 ,23.7 ,O ,0.0 ,O ,0.0 ,O O O O ,2 2 ,O 0 O O 
Coihueco & ,28375 ,40 ,141.0 ,13 ,45.8 ,13 ,45.8 ,O O O 3 ,3 3 ,5 14 10 2 
EI Carmen ,12334 ,3 ,24.3 ,O ,0.0 ,O ,0.0 ,O O O 2 ,O 1 ,O O O O 
Ninhue ,5414 ,4 ,73.9 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O 2 ,O 2 O 0 
Niquen ,11567 ,3 ,25.9 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,0 1 ,2 0 O 0 
Pemuco ,8639 ,6 ,69.5 ,O ,0.0 ,O ,0.0 ,O O O 1 ,0 4 ,1 O O 0 
Pinto ,11880 ,12 ,101.0 ,O ,0.0 ,O ,0.0 ,O 0 O 2 ,3 5 ,1 1 O 0 
Portezuelo ,4940 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O O 
Quillon ,18777 ,30 ,159.8 ,3 ,16.0 ,3 ,16.0 ,O O 1 8 ,9 8 ,1 O 2 1 
Quirihue ,12192 ,4 ,32.8 ,1 ,8.2 ,1 ,8.2 ,O O O O ,1 2 ,O 1 O O 
Ranquil ,6261 ,10 ,159.7 ,O ,0.0 ,O ,0.0 ,O O O 1 ,3 6 ,O O O 0 
San Carlos ,56252 ,35 ,62.2 ,4 ,7.1 ,4 ,7.1 ,O 0 2 7 ,9 9 ,2 2 4 O 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O O O 3 ,3 1 ,O 1 O O 
San Ignacio ,16624 ,8 ,48.1 ,2 ,12.0 ,2 ,12.0 ,O O O 2 ,2 1 ,O 1 2 O 
San Nicolas ,12172 ,16 ,131.4 ,O ,0.0 ,O ,0.0 ,O O 1 2 ,6 4 ,3 O O O 
Treguaco ,5696 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,0 0 ,0 O O O 
Yungay ,18596 ,52 ,279.6 ,5 ,26.9 ,5 ,26.9 ,0 O 0 5 ,14 21 ,3 4 5 0 
Total ,511551 ,766 ,149.7 ,51 ,10.0 ,51 ,10.0 ,0 1 37 169 ,221 162 ,71 60 39 6 
