,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Antartica ,137 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,O ,0 ,0 ,O ,O 
Cabo de Hornos ,1.983 ,18 ,"907,7 ",1 ,"50,4 ",1 ,"50,4 ",O ,0 ,0 ,8 ,7 ,1 ,2 ,0 
Laguna Blanca ,264 ,O ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",O ,O ,O ,O ,0 ,0 ,O ,0 
Natales ,23.782 ,7 ,"29,4 ",1 ,"4,2 ",1 ,"4,2 ",0 ,0 ,1 ,3 ,1 ,1 ,1 ,0 
Porvenir ,7.323 ,5 ,"68,3 ",1 ,"13,7 ",1 ,"13,7 ",0 ,0 ,0 ,O ,3 ,1 ,1 ,O 
Primavera ,694 ,1 ,"144,1 ",1 ,"144,1 ",1 ,"144,1 ",0 ,0 ,O ,O ,O ,0 ,1 ,O 
Punta Arenas ,141.984 ,470 ,"331,0 ",179 ,"126,1 ",173 ,"121,8 ",1 ,1 ,5 ,62 ,118 ,131 ,123 ,29 
Rio Verde ,211 ,O ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,O ,O ,O ,0 ,O ,O 
San Gregorio ,681 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,0 ,O ,O ,O ,O ,O ,O 
Timaukel ,282 ,O ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",O ,0 ,0 ,O ,0 ,0 ,O ,0 
Torres del Paine ,1.021 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,O ,0 ,0 ,0 ,O 
Total ,178.362 ,501 ,"280,9 ",183 ,"102,6 ",177 ,"99,2 ",1 ,1 ,6 ,73 ,129 ,134 ,128 ,29 
