,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,5303 ,2.1 ,874.3 ,4896 ,2.0 ,838.6 ,10199 ,2.1 ,856.8 
05 09 anos ,4538 ,1.8 ,695.1 ,4371 ,1.8 ,694.3 ,8909 ,1.8 ,694.7 
10 14 anos ,5161 ,2.0 ,801.6 ,5382 ,2.2 ,866.1 ,10543 ,2.1 ,833.3 
15 19 anos ,8356 ,3.3 ,1304.3 ,9560 ,3.9 ,1543.3 ,17916 ,3.6 ,1421.8 
20 24 anos ,19989 ,7.9 ,2727.0 ,20435 ,8.4 ,2877.5 ,40424 ,8.1 ,2801.0 
25 29 anos ,30820 ,12.2 ,3680.6 ,30569 ,12.6 ,3765.6 ,61389 ,12.4 ,3722.5 
30 34 anos ,31179 ,12.3 ,3848.2 ,28596 ,11.7 ,3638.3 ,59775 ,12.0 ,3744.8 
35 39 anos ,25525 ,10.1 ,3519.0 ,22694 ,9.3 ,3196.9 ,48219 ,9.7 ,3359.6 
40 44 anos ,21580 ,8.5 ,3195.7 ,19304 ,7.9 ,2873.8 ,40884 ,8.2 ,3035.2 
45 49 anos ,21182 ,8.4 ,3356.1 ,19978 ,8.2 ,3119.8 ,41160 ,8.3 ,3237.1 
50 54 anos ,20176 ,8.0 ,3356.9 ,19145 ,7.9 ,3071.1 ,39321 ,7.9 ,3211.4 
55 59 anos ,18976 ,7.5 ,3419.9 ,17556 ,7.2 ,2972.5 ,36532 ,7.4 ,3189.2 
60 64 anos ,14324 ,5.7 ,3041.0 ,12653 ,5.2 ,2441.0 ,26977 ,5.4 ,2726.6 
65 69 anos ,9167 ,3.6 ,2419.2 ,8495 ,3.5 ,1949.8 ,17662 ,3.6 ,2168.2 
70 74 anos ,6582 ,2.6 ,2492.5 ,6339 ,2.6 ,1985.2 ,12921 ,2.6 ,2214.8 
75 79 anos ,4550 ,1.8 ,2579.4 ,4914 ,2.0 ,2070.0 ,9464 ,1.9 ,2287.2 
80 y mas anos ,5508 ,2.2 ,2802.8 ,8609 ,3.5 ,2457.5 ,14117 ,2.8 ,2581.6 
Total ,252916 ,100.0 ,2634.8 ,243496 ,100.0 ,2469.7 ,496412 ,100.0 ,2551.2 
