,,,,,,Numero,deCasos,segunFechadeInicio,de,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE SE SE 15 16 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 ,SE SE 23 24 
Bulnes ,22607 ,197 ,871.4 ,26 ,115.0 ,26 ,115.0 ,O O O 10 ,27 ,10 ,7 7 6 ,9 23 ,43 ,26 18 ,11 0 
Chillan ,198624 ,700 ,352.4 ,119 ,59.9 ,119 ,59.9 ,O 1 28 119 ,116 ,76 ,33 25 17 ,15 20 ,62 ,58 68 ,62 0 
Chillan Viejo ,33827 ,115 ,340.0 ,16 ,47.3 ,16 ,47.3 ,O O 5 7 ,19 ,7 ,14 3 1 ,O 4 ,16 ,22 6 ,11 0 
Cobquecura ,5275 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,O ,O O O ,O 0 ,O ,O O ,O O 
Coelemu & ,16845 ,29 ,172.2 ,13 ,77.2 ,13 ,77.2 ,O O 0 0 ,2 ,2 ,O O 0 ,O 1 ,2 ,7 10 ,5 0 
Coihueco ,28375 ,54 ,190.3 ,2 ,7.0 ,2 ,7.0 ,O O O 2 ,3 ,4 ,6 12 12 ,3 1 ,8 ,1 1 ,1 O 
EI Carmen ,12334 ,27 ,218.9 ,9 ,73.0 ,9 ,73.0 ,O O O 2 ,O ,1 ,O O O ,O 1 ,3 ,7 11 ,2 O 
Ninhue& ,5414 ,11 ,203.2 ,3 ,55.4 ,3 ,55.4 ,O O 0 O ,0 ,2 ,O 2 O ,O 0 ,1 ,3 2 ,1 0 
Niquen ,11567 ,28 ,242.1 ,16 ,138.3 ,16 ,138.3 ,0 0 0 1 ,O ,1 ,2 0 0 ,1 0 ,4 ,3 9 ,7 0 
Pemuco ,8639 ,16 ,185.2 ,6 ,69.5 ,6 ,69.5 ,O O O 1 ,O ,4 ,1 O O ,O 3 ,1 ,O 4 ,2 O 
Pinto ,11880 ,17 ,143.1 ,2 ,16.8 ,2 ,16.8 ,O O O 2 ,3 ,5 ,1 1 0 ,O O ,3 ,O 2 ,O 0 
Portezuelo ,4940 ,7 ,141.7 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O ,0 ,0 ,0 O 0 ,0 1 ,4 ,2 0 ,O 0 
Quillon ,18777 ,76 ,404.8 ,28 ,149.1 ,27 ,143.8 ,O 0 O 8 ,8 ,8 ,1 0 2 ,2 2 ,9 ,6 13 ,17 0 
Quirihue ,12192 ,21 ,172.2 ,3 ,24.6 ,3 ,24.6 ,O 0 O O ,1 ,2 ,O 1 O ,1 7 ,4 ,1 4 ,O O 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,0 ,0.0 ,O 0 O 1 ,3 ,6 ,O O 0 ,O 0 ,O ,O O ,O 0 
San Carlos & ,56252 ,113 ,200.9 ,41 ,72.9 ,41 ,72.9 ,O 0 2 5 ,10 ,9 ,2 3 3 ,3 7 ,9 ,15 28 ,17 0 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O 0 O 3 ,3 ,1 ,O 1 O ,0 0 ,O ,O O ,O O 
San Ignacio ,16624 ,33 ,198.5 ,10 ,60.2 ,10 ,60.2 ,O O O 2 ,2 ,1 ,O 1 3 ,3 O ,2 ,7 9 ,3 O 
San Nicolas' ,12172 ,35 ,287.5 ,8 ,65.7 ,8 ,65.7 ,O O 0 2 ,6 ,5 ,4 O 0 ,O 2 ,2 ,6 7 ,1 0 
