,,,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas.,Notificacion,OTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE SE 21 22 ,SE 23 ,SE SE 24 25 
Alto Biobio& ,6775 ,151 ,2228.8 ,O ,0.0 ,18 ,265.7 ,18 ,265.7 ,0 0 0 O ,0 0 ,O ,0 0 0 ,O 7 ,45 55 ,31 ,10 3 
Antuco ,4306 ,26 ,603.8 ,0 ,0.0 ,6 ,139.3 ,6 ,139.3 ,0 0 0 0 ,0 0 ,O ,O 0 0 ,2 2 ,1 13 ,2 ,5 1 
Arauco8 ,38679 ,134 ,346.4 ,1 ,2.6 ,51 ,131.9 ,51 ,131.9 ,0 0 1 2 ,2 1 ,0 ,0 0 5 ,4 14 ,16 24 ,22 ,26 17 
Cabrero& ,30725 ,123 ,400.3 ,0 ,0.0 ,75 ,244.1 ,75 ,244.1 ,0 0 0 1 ,0 4 ,3 ,7 1 3 ,4 2 ,3 4 ,17 ,37 37 
Canete ,37003 ,24 ,64.9 ,0 ,0.0 ,5 ,13.5 ,5 ,13.5 ,0 0 O 0 ,0 O ,O ,0 0 0 ,O 1 ,9 4 ,7 ,1 2 
Chiguayante& ,91180 ,226 ,247.9 ,3 ,3.3 ,77 ,84.4 ,76 ,83.4 ,0 0 5 5 ,9 16 ,11 ,10 11 8 ,6 8 ,9 26 ,40 ,42 20 
Concepcion& ,238092 ,767 ,322.1 ,9 ,3.8 ,309 ,129.8 ,307 ,128.9 ,1 1 7 28 ,28 23 ,22 ,18 14 19 ,21 20 ,90 97 ,125 ,184 69 
Contulmo ,6330 ,4 ,63.2 ,0 ,0.0 ,3 ,47.4 ,3 ,47.4 ,0 0 0 0 ,0 O ,O ,0 0 0 ,O 0 ,0 1 ,O ,0 3 
Coronel ,125829 ,514 ,408.5 ,2 ,1.6 ,211 ,167.7 ,211 ,167.7 ,0 0 1 6 ,6 4 ,1 ,0 5 2 ,14 14 ,50 129 ,113 ,121 48 
Curanilahue ,33892 ,31 ,91.5 ,1 ,3.0 ,17 ,50.2 ,16 ,47.2 ,0 0 0 1 ,0 0 ,O ,0 0 1 ,3 0 ,2 4 ,11 ,8 1 
Florida ,11841 ,9 ,76.0 ,0 ,0.0 ,3 ,25.3 ,3 ,25.3 ,0 0 0 O ,2 1 ,0 ,0 0 0 ,2 O ,1 0 ,O ,2 1 
Hualpen& ,97273 ,262 ,269.3 ,2 ,2.1 ,65 ,66.8 ,65 ,66.8 ,0 0 3 23 ,33 26 ,17 ,8 2 5 ,11 9 ,17 29 ,24 ,45 10 
Hualqui ,26201 ,79 ,301.5 ,2 ,7.6 ,24 ,91.6 ,23 ,87.8 ,0 0 1 1 ,2 3 ,4 ,9 0 1 ,2 5 ,12 7 ,13 ,13 6 
Laja ,23873 ,84 ,351.9 ,O ,0.0 ,13 ,54.5 ,13 ,54.5 ,0 1 1 O ,3 1 ,1 ,1 5 1 ,17 20 ,8 7 ,9 ,6 3 
Lebu ,27100 ,20 ,73.8 ,0 ,0.0 ,7 ,25.8 ,7 ,25.8 ,0 0 0 0 ,0 O ,O ,0 0 1 ,1 O ,0 6 ,6 ,4 2 
Los Alamos& ,22524 ,17 ,75.5 ,0 ,0.0 ,9 ,40.0 ,9 ,40.0 ,0 0 0 0 ,0 0 ,1 ,0 0 1 ,O 1 ,0 3 ,4 ,4 3 
Los Angeles& ,218515 ,468 ,214.2 ,1 ,0.5 ,113 ,51.7 ,113 ,51.7 ,0 0 3 6 ,9 6 ,5 ,4 0 4 ,32 64 ,89 77 ,85 ,58 26 
Lota& ,45750 ,122 ,266.7 ,O ,0.0 ,44 ,96.2 ,44 ,96.2 ,O 0 O 1 ,0 O ,O ,0 0 1 ,16 10 ,14 22 ,19 ,29 10 
Mulchen ,31041 ,29 ,93.4 ,0 ,0.0 ,4 ,12.9 ,4 ,12.9 ,0 0 0 1 ,4 0 ,O ,0 0 2 ,3 1 ,1 11 ,3 ,2 1 
