,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,37285 ,11.9 ,7549 ,32.5 
Diabetes ,18321 ,5.9 ,4693 ,20.2 
Obesidad ,9644 ,3.1 ,1650 ,7.1 
Asma ,8864 ,2.8 ,757 ,3.3 
Enfermedad cardiovascular ,2364 ,0.8 ,998 ,4.3 
Enfermedad pulmonar cronica ,2130 ,0.7 ,1002 ,4.3 
Cardiopatia cronica ,1879 ,0.6 ,1019 ,4.4 
Enfermedad renal cronica ,1707 ,0.5 ,1010 ,4.4 
Enfermedad neurologica cronica ,1543 ,0.5 ,679 ,2.9 
Inmunocomprometido ,1065 ,0.3 ,668 ,2.9 
Enfermedad hepatica cronica ,288 ,0.1 ,265 ,1.1 
