,,,,,,,,,Numero,de,Casos,Nuevossegun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abri al 11 de abril) ,SE 16 (12 de abri al 18 de abril) ,SE 17 (19 de abri al 25 de abril) 
Chepica ,15925 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,0 ,O ,O ,O ,0 ,0 
Chimbarongo ,37696 ,2 ,5.3 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,1 ,1 ,O ,O ,O ,O 
Codegua ,14096 ,1 ,7.1 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,1 ,O ,O ,O ,0 ,O 
Coinco ,7831 ,1 ,12.8 ,1 ,12.8 ,1 ,12.8 ,0 ,O ,O ,O ,O ,O ,O ,0 ,1 
Coltauco ,21263 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,O ,O ,0 ,O 
Donihue& ,22700 ,1 ,4.4 ,1 ,4.4 ,1 ,4.4 ,0 ,0 ,O ,O ,O ,O ,O ,1 ,0 
Graneros ,36504 ,2 ,5.5 ,2 ,5.5 ,2 ,5.5 ,O ,0 ,0 ,O ,O ,O ,O ,O ,2 
La Estrella ,3114 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,0 ,0 
Las Cabras& ,26749 ,3 ,11.2 ,2 ,7.5 ,2 ,7.5 ,0 ,O ,O ,0 ,0 ,O ,1 ,2 ,0 
Litueche ,6765 ,1 ,14.8 ,1 ,14.8 ,1 ,14.8 ,0 ,0 ,0 ,0 ,O ,O ,O ,0 ,1 
Lolo ,7289 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,0 ,O ,0 ,0 
Machali8 ,59913 ,16 ,26.7 ,8 ,13.4 ,8 ,13.4 ,0 ,O ,1 ,5 ,1 ,0 ,4 ,0 ,5 
Malloa ,14163 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,O ,O ,0 ,O 
Marchihue ,7632 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Mostazal ,27462 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,0 ,O ,0 ,0 
Nancagua ,19141 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,0 ,0 ,O ,0 ,0 
Navidad ,6904 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,O ,O ,0 ,0 
Olivar ,14624 ,6 ,41.0 ,1 ,6.8 ,1 ,6.8 ,0 ,0 ,0 ,0 ,1 ,2 ,2 ,1 ,0 
Palmilla ,13299 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,0 ,0 ,0 ,0 
Paredones ,6349 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,O ,0 ,0 
