,,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas.,Notificacion,OTomade,Muestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE 14 15 16 ,SE SE SE 17 18 19 ,SE SE SE SE SE 20 21 22 23 24 ,SE SE 25 26 
Aisen ,25002 ,8 ,32.0 ,O ,0.0 ,4 ,16.0 ,4 ,16.0 ,O O 1 0 ,O ,0 0 O ,0 O 0 ,O 1 2 0 2 ,2 0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,1 0 O ,0 O 0 ,O O 0 O 0 ,O O 
Cisnes ,5828 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O 0 ,O ,O 0 O ,O O 0 ,O 0 0 0 0 ,O O 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O ,O ,O O O ,O O O ,O 0 O 0 0 ,O O 
Coyhaique8 ,61210 ,15 ,24.5 ,O ,0.0 ,1 ,1.6 ,1 ,1.6 ,O 0 1 O ,O ,1 O O ,O O 1 ,O 4 3 3 2 ,O 0 
Guaitecas ,1599 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O O ,O ,O O O ,0 O 0 ,O 0 0 0 O ,O 0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 ,0 ,0 0 O ,0 O 0 ,0 0 0 0 0 ,O 0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O ,O ,O O O ,0 O 0 ,O O O O 0 ,O 0 
Rio ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O ,O ,O 0 O ,0 O 0 ,O 0 0 0 0 ,O 0 
Torte ,572 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 ,0 ,O O O ,0 O 0 ,O 0 0 0 O ,O 0 
Desconocido& ,- ,1 ,- ,0 ,- ,0 ,- ,O ,- ,O 0 1 0 ,O ,0 O O ,0 O 0 ,O 0 O 0 O ,O 0 
Total ,107297 ,25 ,23.3 ,0 ,0.0 ,5 ,4.7 ,5 ,4.7 ,0 0 3 0 ,0 ,2 0 0 ,0 0 1 ,0 5 5 3 4 ,2 0 
