05-jun,5246,127745
06-jun ,6405 ,134150 
07-jun ,4696 ,138846 
08-jun ,3913 ,142759 
09-jun ,5737 ,148496 
10-jun ,5596 ,154092 
11-jun ,6754 ,160846 
12-jun ,6509 ,167355 
13-jun ,6938 ,174293 
14-jun ,5143 ,179436 
15-jun ,5013 ,184449 
16-jun ,4757 ,220628 
17-jun ,4475 ,225103 
18-jun ,6290 ,250919 
19-jun ,5355 ,257442 
20-jun ,5607 ,264252 
21-jun ,4608 ,269270 
22-jun ,3804 ,275648 
23-jun ,3649 ,280600 
24-jun ,4648 ,286257 
25-jun ,4296 ,291493 
26-jun ,4406 ,296785 
27-jun ,4216 ,301153 
28-jun ,4017 ,306361 
29-jun ,3394 ,309975 
30-jun ,2650 ,313023 
01-ju ,2498 ,316554 
02-jul ,3548 ,320667 
03-jul ,3758 ,325780 
04-jul ,3685 ,330183 
05-jul ,3025 ,333458 
06-jul ,2462 ,336153 
07-jul ,2064 ,338988 
08-jul ,3133 ,342856 
09-jul ,3058 ,346674 
10-jul ,2755 ,350119 
11-jul ,3012 ,353765 
12-jul ,2616 ,356695 
13-jul ,1836 ,358712 
14-jul ,1712 ,360475 
15-jul ,2475 ,362531 
16-jul ,2840 ,366595 
17-jul ,2185 ,368323 
18-jul ,2082 ,369625 
19-jul ,2099 ,371323 
20-ju ,1656 ,374511 
21-jul ,1741 ,375970 
22-jul ,2371 ,378041 
23-jul ,2545 ,381234 
