,Fechade,iniciodesintomas,,Fecha,denotificacion
Fecha ,Confirmada ,No notificada ,Probable ,Confirmada ,No notificada 
22-02-2020 ,1 ,,,,
23-02-2020 ,1 ,,,,
24-02-2020 ,1 ,,1 ,,
25-02-2020 ,9 ,,,,
26-02-2020 ,2 ,,1 ,,
27-02-2020 ,3 ,,,,
28-02-2020 ,4 ,,,1 ,
29-02-2020 ,1 ,,,,
01-03-2020 ,9 ,,,,
02-03-2020 ,7 ,,1 ,1 ,
03-03-2020 ,9 ,,,1 ,
04-03-2020 ,9 ,,,2 ,
05-03-2020 ,29 ,,2 ,4 ,
06-03-2020 ,13 ,,2 ,1 ,
07-03-2020 ,14 ,,,2 ,
08-03-2020 ,24 ,,1 ,6 ,
09-03-2020 ,36 ,,,2 ,
10-03-2020 ,65 ,1 ,1 ,10 ,1 
11-03-2020 ,52 ,,,17 ,
12-03-2020 ,68 ,,1 ,13 ,
13-03-2020 ,117 ,,1 ,24 ,
14-03-2020 ,149 ,3 ,,46 ,3 
15-03-2020 ,176 ,,3 ,50 ,
16-03-2020 ,281 ,1 ,2 ,85 ,1 
17-03-2020 ,260 ,2 ,,149 ,2 
18-03-2020 ,269 ,1 ,2 ,112 ,1 
19-03-2020 ,294 ,4 ,1 ,153 ,4 
20-03-2020 ,366 ,2 ,2 ,176 ,2 
21-03-2020 ,312 ,2 ,,166 ,2 
22-03-2020 ,299 ,5 ,,155 ,5 
23-03-2020 ,395 ,2 ,3 ,213 ,2 
24-03-2020 ,328 ,7 ,1 ,286 ,7 
25-03-2020 ,340 ,3 ,6 ,358 ,3 
26-03-2020 ,345 ,4 ,1 ,380 ,4 
