,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abri al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Chepica ,15925 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 
Chimbarongo ,37696 ,4 ,10.6 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,1 ,O ,0 ,2 
Codegua ,14096 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,O ,O 
Coinco ,7831 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,0 ,O ,O ,O ,O 
Coltauco ,21263 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 
Donihue ,22700 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,O 
Graneros ,36504 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
Las Cabras ,26749 ,1 ,3.7 ,1 ,3.7 ,1 ,3.7 ,O ,O ,O ,O ,O ,O ,1 ,O 
Litueche ,6765 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,O ,O ,0 ,0 
Lolol ,7289 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,O ,O ,O ,0 
Machali ,59913 ,8 ,13.4 ,O ,0.0 ,0 ,0.0 ,O ,O ,1 ,5 ,2 ,O ,O ,O 
Malloa ,14163 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,O ,O ,O 
Mostaza ,27462 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,O 
Nancagua ,19141 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,0 ,0 ,O 
Navidad ,6904 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,O 
Olivar ,14624 ,7 ,47.9 ,4 ,27.4 ,4 ,27.4 ,0 ,O ,O ,O ,2 ,2 ,2 ,1 
Palmilla ,13299 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
