,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 
Alto del Carmen ,5729 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O O O O O 
Caldera ,19426 ,1 ,5.1 ,1 ,5.1 ,1 ,5.1 ,O O O O O O O O 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O O 
Copiapo ,171766 ,48 ,27.9 ,32 ,18.6 ,32 ,18.6 ,0 0 1 O 2 1 4 O 
Diego de Almagro ,14358 ,2 ,13.9 ,1 ,7.0 ,1 ,7.0 ,0 O 0 O 1 O O O 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,0 0 O O O O O 1 
Huasco ,11264 ,1 ,8.9 ,1 ,8.9 ,1 ,8.9 ,O O O O O O O O 
Tierra Amarilla ,14312 ,9 ,62.9 ,2 ,14.0 ,2 ,14.0 ,0 O O O O 2 3 O 
Vallenar ,57009 ,28 ,49.1 ,13 ,22.8 ,13 ,22.8 ,0 O 0 O O O 1 8 
Total ,314709 ,90 ,28.6 ,50 ,15.9 ,50 ,15.9 ,0 0 1 0 3 3 8 9 
