,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE SE SE 14 15 16 17 18 19 ,SE 20 
Alto Biobio ,6775 ,1 ,14.8 ,1 ,14.8 ,1 ,14.8 ,O 0 O 0 ,0 ,0 O 0 0 0 O ,O 
Antuco ,4306 ,4 ,92.9 ,2 ,46.4 ,2 ,46.4 ,O 0 O 0 ,O ,0 O O O 0 2 ,2 
Arauco ,38679 ,28 ,72.4 ,13 ,33.6 ,13 ,33.6 ,0 0 1 2 ,2 ,1 O 0 0 5 4 ,11 
Cabrero ,30725 ,26 ,84.6 ,4 ,13.0 ,4 ,13.0 ,0 O 0 1 ,O ,4 3 7 1 3 4 ,2 
Canete ,37003 ,3 ,8.1 ,3 ,8.1 ,3 ,8.1 ,O 0 O 0 ,O ,0 O O 0 0 O ,O 
Chiguayante ,91180 ,87 ,95.4 ,9 ,9.9 ,9 ,9.9 ,0 O 5 5 ,9 ,16 11 10 11 8 6 ,6 
Concepcion ,238092 ,209 ,87.8 ,40 ,16.8 ,39 ,16.4 ,1 1 6 28 ,28 ,22 21 18 14 18 17 ,14 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 0 ,O ,0 0 O 0 O 0 ,O 
Coronel ,125829 ,56 ,44.5 ,22 ,17.5 ,22 ,17.5 ,0 0 1 6 ,6 ,4 1 0 5 2 14 ,12 
Curanilahue ,33892 ,5 ,14.8 ,1 ,3.0 ,1 ,3.0 ,0 O O 1 ,0 ,0 0 0 0 1 3 ,O 
Florida ,11841 ,4 ,33.8 ,O ,0.0 ,0 ,0.0 ,0 0 0 O ,2 ,1 O O 0 0 1 ,O 
Hualpen ,97273 ,142 ,146.0 ,15 ,15.4 ,15 ,15.4 ,0 0 3 24 ,33 ,27 17 8 2 5 11 ,8 
Hualqui ,26201 ,27 ,103.0 ,6 ,22.9 ,6 ,22.9 ,0 O 1 1 ,2 ,3 4 9 0 0 2 ,3 
Laja ,23873 ,54 ,226.2 ,31 ,129.9 ,31 ,129.9 ,0 1 1 O ,3 ,1 1 1 5 1 17 ,20 
Lebu ,27100 ,2 ,7.4 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,O ,0 0 O 0 1 1 ,O 
Los Alamos ,22524 ,1 ,4.4 ,O ,0.0 ,O ,0.0 ,O 0 0 O ,O ,0 1 O O O 0 ,O 
Los Angeles ,218515 ,137 ,62.7 ,78 ,35.7 ,78 ,35.7 ,O O 4 7 ,9 ,6 5 3 0 3 31 ,53 
Lota ,45750 ,32 ,69.9 ,17 ,37.2 ,17 ,37.2 ,0 0 0 1 ,O ,0 0 0 0 1 16 ,9 
Mulchen ,31041 ,11 ,35.4 ,1 ,3.2 ,1 ,3.2 ,O 0 0 1 ,4 ,0 O O O 2 3 ,1 
Nacimiento ,27944 ,28 ,100.2 ,8 ,28.6 ,8 ,28.6 ,O O O 2 ,3 ,3 2 O 1 3 8 ,4 
Negrete ,10429 ,25 ,239.7 ,21 ,201.4 ,21 ,201.4 ,O O O O ,O ,2 0 0 0 O 7 ,11 
