,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Algarrobo ,15174 ,9 ,59.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,3 ,4 ,1 ,O ,0 
Cabildo ,20663 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,0 ,0 ,0 ,O ,0 
Calera ,53591 ,11 ,20.5 ,3 ,5.6 ,3 ,5.6 ,O ,O ,0 ,2 ,6 ,2 ,1 ,0 
Calle Larga ,16482 ,2 ,12.1 ,2 ,12.1 ,2 ,12.1 ,O ,O ,0 ,0 ,0 ,1 ,1 ,0 
Cartagena ,25357 ,2 ,7.9 ,2 ,7.9 ,2 ,7.9 ,0 ,0 ,0 ,0 ,0 ,2 ,O ,O 
Casablanca ,29170 ,3 ,10.3 ,1 ,3.4 ,1 ,3.4 ,O ,O ,0 ,1 ,0 ,1 ,1 ,0 
Catemu ,15213 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,O ,O ,O ,O 
Concon ,45889 ,7 ,15.3 ,2 ,4.4 ,2 ,4.4 ,O ,O ,O ,1 ,4 ,2 ,O ,O 
EI Quisco ,17742 ,4 ,22.5 ,3 ,16.9 ,3 ,16.9 ,O ,O ,0 ,1 ,0 ,2 ,1 ,O 
EI Tabo ,14338 ,3 ,20.9 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,0 ,2 ,1 ,O ,0 
Hijuelas ,19099 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,O ,0 
Isla de Pascua ,8277 ,6 ,72.5 ,1 ,12.1 ,1 ,12.1 ,O ,O ,O ,2 ,1 ,2 ,1 ,0 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
La Cruz ,25321 ,5 ,19.7 ,2 ,7.9 ,2 ,7.9 ,O ,1 ,0 ,0 ,1 ,2 ,1 ,O 
La Ligua ,37739 ,2 ,5.3 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,1 ,0 ,1 ,O ,0 
Limache ,49931 ,13 ,26.0 ,8 ,16.0 ,8 ,16.0 ,O ,0 ,0 ,3 ,0 ,6 ,4 ,0 
Llaillay ,26533 ,2 ,7.5 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,1 ,0 ,O ,O 
Los Andes ,68093 ,7 ,10.3 ,4 ,5.9 ,4 ,5.9 ,O ,O ,0 ,1 ,2 ,2 ,2 ,0 
Nogales ,23490 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,0 ,O ,O 
