Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,167 ,2464.9 ,O ,0.0 ,15 ,221.4 ,15 ,221.4 
Antuco ,4306 ,52 ,1207.6 ,0 ,0.0 ,9 ,209.0 ,9 ,209.0 
Arauco ,38679 ,286 ,739.4 ,1 ,2.6 ,24 ,62.0 ,24 ,62.0 
Cabrero ,& 30725 ,129 ,419.9 ,O ,0.0 ,16 ,52.1 ,16 ,52.1 
Canete ,37003 ,39 ,105.4 ,O ,0.0 ,6 ,16.2 ,6 ,16.2 
Chiguayante ,91180 ,431 ,472.7 ,10 ,11.0 ,92 ,100.9 ,92 ,100.9 
Concepcion ,& 238092 ,1424 ,598.1 ,24 ,10.1 ,202 ,84.8 ,202 ,84.8 
Contulmo ,6330 ,43 ,679.3 ,O ,0.0 ,2 ,31.6 ,2 ,31.6 
Coronel ,& 125829 ,1094 ,869.4 ,4 ,3.2 ,180 ,143.1 ,180 ,143.1 
Curanilahue ,& 33892 ,124 ,365.9 ,1 ,3.0 ,58 ,171.1 ,58 ,171.1 
Florida ,11841 ,36 ,304.0 ,3 ,25.3 ,3 ,25.3 ,3 ,25.3 
Hualpen ,& 97273 ,617 ,634.3 ,3 ,3.1 ,127 ,130.6 ,127 ,130.6 
Hualqui ,26201 ,171 ,652.6 ,3 ,11.4 ,24 ,91.6 ,24 ,91.6 
Laja ,23873 ,149 ,624.1 ,0 ,0.0 ,29 ,121.5 ,29 ,121.5 
Lebu ,27100 ,32 ,118.1 ,0 ,0.0 ,2 ,7.4 ,2 ,7.4 
Los Alamos ,22524 ,99 ,439.5 ,O ,0.0 ,19 ,84.4 ,19 ,84.4 
LOs Angeles ,218515 ,933 ,427.0 ,4 ,1.8 ,151 ,69.1 ,151 ,69.1 
Lota ,& 45750 ,342 ,747.5 ,2 ,4.4 ,75 ,163.9 ,75 ,163.9 
Mulchen ,31041 ,104 ,335.0 ,O ,0.0 ,35 ,112.8 ,35 ,112.8 
Nacimiento ,27944 ,154 ,551.1 ,3 ,10.7 ,27 ,96.6 ,27 ,96.6 
Negrete ,10429 ,119 ,1141.0 ,2 ,19.2 ,12 ,115.1 ,12 ,115.1 
