Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,61 ,244.0 ,2 ,8.0 ,2 ,8.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,50 ,81.7 ,13 ,21.2 ,13 ,21.2 
Guaitecas ,1599 ,1 ,62.5 ,0 ,0.0 ,O ,0.0 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,O ,- 
Total ,107297 ,114 ,106.2 ,15 ,14.0 ,15 ,14.0 
