,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 ,,,SE 18 
Cauquenes ,44143 ,23 ,52.1 ,9 ,20.4 ,9 ,20.4 ,O 0 O 0 2 3 1 5 2 ,,,1 
Chanco ,9331 ,3 ,32.2 ,0 ,0.0 ,0 ,0.0 ,O 0 O O 1 O 0 1 1 ,,,O 
Colbun ,22565 ,13 ,57.6 ,6 ,26.6 ,6 ,26.6 ,O O O O 3 3 O O O ,,,1 
Constitucion ,50348 ,27 ,53.6 ,4 ,7.9 ,4 ,7.9 ,0 O 0 O 3 3 5 7 4 ,,,1 
Curepto ,9426 ,10 ,106.1 ,1 ,10.6 ,1 ,10.6 ,O O O O O 3 2 3 O ,,,1 
Curico& ,163626 ,83 ,50.7 ,28 ,17.1 ,28 ,17.1 ,O 1 2 3 6 3 12 10 9 ,,,9 
Empedrado ,4206 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O O O O O O ,,,0 
Hualane ,10222 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O O O O O ,O ,,O 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,0 ,0.0 ,O 0 O O 0 1 O 1 O ,,,O 
Linares& ,101073 ,49 ,48.5 ,17 ,16.8 ,17 ,16.8 ,1 0 O 2 5 5 4 6 3 ,,,4 
Longavi ,32810 ,13 ,39.6 ,7 ,21.3 ,7 ,21.3 ,0 0 0 1 O 1 1 1 O ,,,2 
Maule& ,60000 ,29 ,48.3 ,5 ,8.3 ,5 ,8.3 ,O 0 O 1 1 2 6 13 1 ,,,0 
Molina ,49800 ,8 ,16.1 ,1 ,2.0 ,1 ,2.0 ,O 0 O 1 2 0 1 3 O ,,,O 
Parral ,44544 ,13 ,29.2 ,4 ,9.0 ,4 ,9.0 ,O O O 1 3 2 2 1 ,O ,,O 
Pelarco ,9083 ,13 ,143.1 ,5 ,55.0 ,5 ,55.0 ,O 0 O O O O 3 2 O ,,,2 
Pelluhue ,8092 ,7 ,86.5 ,5 ,61.8 ,5 ,61.8 ,O O O 1 O 0 1 O O ,,,0 
Pencahue ,8601 ,3 ,34.9 ,0 ,0.0 ,O ,0.0 ,O 0 O O 0 0 0 3 O ,,,O 
Rauco ,11248 ,3 ,26.7 ,1 ,8.9 ,1 ,8.9 ,O O O O 1 1 O O O ,,,O 
Retiro ,21071 ,2 ,9.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O O 0 1 0 O ,,,1 
Rio Claro ,14753 ,11 ,74.6 ,2 ,13.6 ,2 ,13.6 ,O 0 O 2 O 1 1 3 2 ,,,O 
