,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,No ,% ,NO ,% 
Hipertension Arterial ,12369 ,32.1 ,45109 ,11.3 
Diabetes ,7703 ,20.0 ,22021 ,5.5 
Otra ,5056 ,13.1 ,23692 ,5.9 
Obesidad ,2663 ,6.9 ,11558 ,2.9 
Enfermedad Renal Cronica ,1669 ,4.3 ,1988 ,0.5 
Enfermedad Cardiovascular ,1538 ,4.0 ,2709 ,0.7 
Cardiopatia Cronica ,1518 ,3.9 ,2249 ,0.6 
Enfermedad Pulmonar Cronica ,1454 ,3.8 ,2591 ,0.6 
Asma ,1278 ,3.3 ,11244 ,2.8 
Enfermedad Neurologica Cronica ,975 ,2.5 ,1428 ,0.4 
Inmunocomprometido ,933 ,2.4 ,1793 ,0.4 
Enfermedad Hepatica Cronica ,409 ,1.1 ,328 ,0.1 
