,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,No ,% ,No ,% 
Tos ,22732 ,61.6 ,207780 ,53.8 
Fiebre ,17289 ,46.9 ,130762 ,33.9 
Mialgia ,16314 ,44.2 ,209914 ,54.4 
Disnea ,15514 ,42.1 ,40757 ,10.6 
Cefalea ,13230 ,35.9 ,227090 ,58.8 
Odinofagia ,6667 ,18.1 ,126299 ,32.7 
Taquipnea ,4535 ,12.3 ,3740 ,1.0 
Dolor toracico ,4346 ,11.8 ,33814 ,8.8 
Otros ,4198 ,11.4 ,38230 ,9.9 
Diarrea ,3311 ,9.0 ,39248 ,10.2 
Dolor abdominal ,2562 ,6.9 ,23266 ,6.0 
Anosmia ,2249 ,6.1 ,71540 ,18.5 
Ageusia ,1946 ,5.3 ,56656 ,14.7 
Postracion ,796 ,2.2 ,1883 ,0.5 
Cianosis ,734 ,2.0 ,322 ,0.1 
