,,,,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas.,Notificacion,oToma,deMuestra,,,
,,Numero de ,Tasa ,Numero ,Tasa de ,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE SE ,SE SE ,SE ,SE SE ,SE SE ,SE SE ,SE ,SE SE ,SE SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 ,14 15 ,16 17 ,18 19 ,20 21 ,22 ,23 24 ,25 26 27 
Angol ,56058 ,360 ,642.2 ,7 ,12.5 ,37 ,66.0 ,37 ,66.0 ,O 1 1 3 ,10 11 ,15 ,35 27 ,12 11 ,7 24 ,19 ,57 63 ,46 17 1 
Carahue ,25486 ,82 ,321.7 ,O ,0.0 ,7 ,27.5 ,7 ,27.5 ,0 0 0 0 ,3 ,10 9 ,8 5 ,1 0 ,2 14 ,11 ,5 5 ,7 2 0 
Cholchol ,12341 ,25 ,202.6 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 1 ,2 ,O 0 ,1 O ,O 1 ,0 1 ,12 ,5 2 ,0 0 0 
Collipulli ,26148 ,60 ,229.5 ,3 ,11.5 ,7 ,26.8 ,7 ,26.8 ,O 0 O 0 ,O 1 ,1 ,1 3 ,O 2 ,9 9 ,6 ,7 9 ,6 6 0 
Cunco ,18055 ,57 ,315.7 ,2 ,11.1 ,7 ,38.8 ,7 ,38.8 ,O O O O ,3 2 ,O ,1 O ,O 1 ,5 18 ,O ,11 8 ,3 4 1 
Curacautin ,18178 ,23 ,126.5 ,1 ,5.5 ,O ,0.0 ,0 ,0.0 ,0 0 0 2 ,O 2 ,0 ,0 2 ,0 1 ,0 1 ,2 ,4 9 ,0 0 0 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,O ,0.0 ,0 ,0.0 ,O 0 1 1 ,2 ,O 0 ,0 0 ,0 0 ,0 0 ,0 ,0 0 ,0 0 0 
Ercilla ,8458 ,19 ,224.6 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O 0 ,O 4 ,1 ,4 1 ,1 0 ,0 4 ,1 ,1 2 ,O 0 0 
Freire ,25446 ,112 ,440.1 ,1 ,3.9 ,6 ,23.6 ,6 ,23.6 ,O O O 2 ,4 ,O 0 ,2 O ,1 12 ,11 28 ,16 ,18 5 ,10 3 0 
Galvarino ,12633 ,119 ,942.0 ,0 ,0.0 ,8 ,63.3 ,8 ,63.3 ,O 0 O 0 ,O ,2 0 ,0 O ,1 0 ,O 6 ,43 ,43 13 ,6 5 0 
Gorbea ,15148 ,38 ,250.9 ,1 ,6.6 ,O ,0.0 ,0 ,0.0 ,0 O 1 4 ,4 2 ,0 ,1 0 ,2 3 ,O 5 ,5 ,5 6 ,0 0 0 
Lautaro& ,40746 ,121 ,297.0 ,2 ,4.9 ,9 ,22.1 ,9 ,22.1 ,1 0 O 6 ,3 15 ,5 ,6 2 ,8 9 ,3 14 ,21 ,6 10 ,6 5 1 
Loncoche& ,24739 ,77 ,311.2 ,1 ,4.0 ,16 ,64.7 ,16 ,64.7 ,O O O 2 ,3 ,2 4 ,3 3 ,3 3 ,2 7 ,19 ,1 7 ,4 14 0 
Lonquimay ,11049 ,71 ,642.6 ,2 ,18.1 ,3 ,27.2 ,3 ,27.2 ,O 0 O 0 ,O ,0 0 ,0 2 ,13 13 ,27 12 ,1 ,O O ,3 0 0 
Los Sauces ,7517 ,10 ,133.0 ,0 ,0.0 ,1 ,13.3 ,1 ,13.3 ,0 0 O 0 ,O ,O 0 ,1 O ,O 0 ,O 1 ,3 ,2 1 ,1 1 O 
Lumaco& ,10050 ,39 ,388.1 ,0 ,0.0 ,8 ,79.6 ,8 ,79.6 ,O O O O ,O ,O 0 ,4 2 ,1 0 ,1 3 ,2 ,9 8 ,8 1 0 
Melipeuco ,6265 ,8 ,127.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O 0 ,O ,0 0 ,O 0 ,0 0 ,0 5 ,2 ,1 0 ,0 0 0 
Nueva Imperial ,33777 ,117 ,346.4 ,2 ,5.9 ,13 ,38.5 ,13 ,38.5 ,O O O 4 ,10 4 ,13 ,6 3 ,2 6 ,5 2 ,3 ,23 19 ,11 6 0 
Padre Las Casas ,82110 ,183 ,222.9 ,5 ,6.1 ,5 ,6.1 ,5 ,6.1 ,O O O 12 ,28 24 ,16 ,17 11 ,0 5 ,24 16 ,13 ,4 7 ,2 4 0 
Perquenco ,7223 ,35 ,484.6 ,0 ,0.0 ,13 ,180.0 ,13 ,180.0 ,O 0 O 1 ,1 ,0 0 ,3 O ,0 1 ,O 0 ,2 ,7 3 ,8 9 0 
