,,,,,,,,Numerode,Casos,segunFecha,deInicio,de,Sintomas,(segun,semana,,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Aisen ,25002 ,1 ,4.0 ,0 ,0.0 ,O ,0.0 ,O O ,1 ,0 ,0 ,0 ,0 ,O ,0 ,O ,O 
Chile Chico ,5121 ,1 ,19.5 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,1 ,O ,O ,0 ,O ,O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O ,O ,O ,O ,O ,0 ,O ,O ,O ,O 
Coyhaique ,61210 ,2 ,3.3 ,0 ,0.0 ,O ,0.0 ,O O ,1 ,O ,O ,1 ,O ,O ,O ,O ,O 
Guaitecas ,1599 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,O ,O ,0 ,O ,O 
Lago Verde ,920 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
O'Higgins ,661 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Rio ibanez ,2699 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,0 ,O ,O ,0 ,O ,O ,O ,O 
Tortel ,572 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,O ,O 
Total ,107297 ,4 ,3.7 ,0 ,0.0 ,0 ,0.0 ,0 0 ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 
