,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Angol ,56058 ,38 ,67.8 ,15 ,26.8 ,14 ,25.0 ,0 ,0 ,1 ,3 ,11 ,8 ,14 ,1 
Carahue ,25486 ,22 ,86.3 ,14 ,54.9 ,14 ,54.9 ,0 ,0 ,O ,1 ,3 ,9 ,8 ,1 
Cholchol ,12341 ,5 ,40.5 ,1 ,8.1 ,1 ,8.1 ,0 ,O ,O ,1 ,3 ,O ,1 ,O 
Collipulli & ,26148 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,O ,O ,0 
Cunco ,18055 ,6 ,33.2 ,2 ,11.1 ,1 ,5.5 ,0 ,0 ,0 ,O ,3 ,3 ,O ,0 
Curacautin ,18178 ,5 ,27.5 ,2 ,11.0 ,2 ,11.0 ,0 ,0 ,O ,2 ,O ,3 ,O ,O 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O ,O ,1 ,1 ,2 ,O ,O ,O 
Ercilla ,8458 ,4 ,47.3 ,3 ,35.5 ,3 ,35.5 ,O ,O ,O ,O ,O ,3 ,1 ,0 
Freire ,25446 ,5 ,19.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,2 ,3 ,O ,O ,O 
Galvarino ,12633 ,2 ,15.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,1 ,O ,0 
Gorbea ,15148 ,10 ,66.0 ,1 ,6.6 ,1 ,6.6 ,0 ,0 ,1 ,4 ,4 ,1 ,0 ,0 
Lautaro ,40746 ,27 ,66.3 ,5 ,12.3 ,4 ,9.8 ,1 ,O ,O ,5 ,4 ,14 ,3 ,O 
Loncoche ,24739 ,9 ,36.4 ,3 ,12.1 ,3 ,12.1 ,0 ,0 ,0 ,2 ,2 ,2 ,3 ,0 
Lonquimay ,11049 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,O 
Los Sauces ,7517 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 
Lumaco ,10050 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,O ,O ,O ,0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,O ,O ,0 ,O 
Nueva Imperial ,33777 ,34 ,100.7 ,12 ,35.5 ,11 ,32.6 ,O ,0 ,O ,6 ,10 ,6 ,11 ,1 
Padre Las Casas ,82110 ,58 ,70.6 ,13 ,15.8 ,11 ,13.4 ,0 ,0 ,O ,11 ,21 ,17 ,9 ,0 
Perquenco ,7223 ,4 ,55.4 ,1 ,13.8 ,1 ,13.8 ,0 ,0 ,O ,1 ,1 ,1 ,O ,1 
