,,,,,,,,Numero,deCasessegun,FechadeIniciode,Sintomas.,Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 17 ,SE SE 18 ,SE SE 19 20 ,SE SE 21 22 ,SE 23 ,SE SE 24 25 
Antofagasta ,425725 ,2718 ,638.4 ,31 ,7.3 ,527 ,123.8 ,526 ,123.6 ,O 1 2 28 ,31 41 ,59 107 ,160 215 ,306 310 ,301 338 ,431 ,312 76 
Calama ,190336 ,2375 ,1247.8 ,50 ,26.3 ,752 ,395.1 ,746 ,391.9 ,1 0 2 3 ,2 9 ,15 16 38 ,51 ,88 226 ,272 423 ,663 ,450 116 
Maria Elena& ,6814 ,196 ,2876.4 ,4 ,58.7 ,15 ,220.1 ,15 ,220.1 ,1 O 0 O ,O O ,5 9 ,16 45 ,42 30 ,13 12 ,10 ,6 7 
Mejillones& ,14776 ,291 ,1969.4 ,4 ,27.1 ,6 ,40.6 ,6 ,40.6 ,O 0 0 O ,1 8 ,15 18 ,30 76 ,45 51 ,19 19 ,5 ,4 O 
Ollague ,287 ,2 ,696.9 ,O ,0.0 ,2 ,696.9 ,2 ,696.9 ,O O 0 O ,O 0 ,O O ,O 0 ,O O ,0 O ,O ,2 O 
San Pedro de Atacama ,10434 ,44 ,421.7 ,1 ,9.6 ,20 ,191.7 ,20 ,191.7 ,O O 0 2 ,1 1 ,O O ,1 0 ,0 1 ,4 3 ,17 ,11 3 
Sierra Gorda& ,1746 ,42 ,2405.5 ,O ,0.0 ,7 ,400.9 ,7 ,400.9 ,O 0 0 O ,0 O ,O O ,0 3 ,5 5 ,3 16 ,6 ,4 O 
Taltal& ,13657 ,53 ,388.1 ,0 ,0.0 ,10 ,73.2 ,10 ,73.2 ,0 0 0 O ,0 2 ,3 2 ,1 1 ,3 12 ,6 8 ,6 ,6 3 
Tocopilla8 ,28079 ,59 ,210.1 ,2 ,7.1 ,15 ,53.4 ,15 ,53.4 ,O O 0 2 ,O 4 ,5 O ,1 2 ,7 8 ,8 3 ,5 ,10 4 
Desconocido ,- ,143 ,- ,O ,- ,50 ,- ,50 ,- ,0 0 0 0 ,0 0 ,O O 7 ,5 ,22 9 ,17 11 ,27 ,28 17 
Total ,691854 ,5923 ,856.1 ,92 ,13.3 ,1404 ,202.9 ,1397 ,201.9 ,2 1 4 35 ,35 65 ,102 152 ,254 398 ,518 652 ,643 833 ,1170 ,833 226 
