,Fechade,iniciode,sintomas,Fecha,denotificacion
Fecha ,Confirmada ,No notificada ,Probable ,Confirmada ,No notificada Probable 
22-02-2020 ,1 ,,,,
23-02-2020 ,1 ,,,,
24-02-2020 ,1 ,,1 ,,
25-02-2020 ,9 ,,,,
26-02-2020 ,2 ,,1 ,,
27-02-2020 ,3 ,,,,
28-02-2020 ,3 ,,1 ,1 ,
29-02-2020 ,1 ,,,,
01-03-2020 ,10 ,,,,
02-03-2020 ,7 ,,1 ,1 ,
03-03-2020 ,9 ,,,1 ,
04-03-2020 ,9 ,,,2 ,
05-03-2020 ,28 ,,2 ,4 ,
06-03-2020 ,13 ,,2 ,1 ,
07-03-2020 ,14 ,,1 ,2 ,
08-03-2020 ,24 ,,,6 ,
09-03-2020 ,36 ,,,2 ,
10-03-2020 ,65 ,1 ,1 ,10 ,1 1 
11-03-2020 ,53 ,,,17 ,
12-03-2020 ,69 ,,2 ,13 ,
