,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE SE 20 21 22 
Andacollo8 ,11791 ,13 ,110.3 ,1 ,8.5 ,1 ,8.5 ,O 0 0 0 0 0 ,0 0 ,O 2 ,7 ,3 0 1 
Canela ,9546 ,2 ,21.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 0 0 ,0 O ,O 1 ,0 ,1 0 0 
Combarbala ,13884 ,9 ,64.8 ,1 ,7.2 ,1 ,7.2 ,O O O O O O ,O O ,O 2 ,3 ,3 1 O 
Coquimbod ,256735 ,192 ,74.8 ,18 ,7.0 ,17 ,6.6 ,O O 4 13 3 1 ,1 4 ,7 14 ,76 ,56 12 1 
Illapel ,32801 ,21 ,64.0 ,2 ,6.1 ,2 ,6.1 ,O O O 0 4 7 ,7 O ,O 1 ,0 ,O 2 O 
La Higuera ,4450 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O O 0 O ,0 O ,O O ,0 ,0 0 O 
La Serena& ,249656 ,145 ,58.1 ,38 ,15.2 ,38 ,15.2 ,O O 1 3 6 4 ,2 2 ,5 13 ,47 ,34 23 5 
Los Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,O ,0.0 ,O O O 1 O O ,O O ,O O ,O ,O O O 
Monte Patria& ,32527 ,29 ,89.2 ,9 ,27.7 ,9 ,27.7 ,O 0 O O O O ,O O ,O 1 ,6 ,14 7 1 
Ovalle8 ,121269 ,97 ,80.0 ,26 ,21.4 ,26 ,21.4 ,0 0 2 2 4 1 ,0 1 ,1 12 ,21 ,35 14 4 
Paiguano ,4675 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O 0 0 ,O O ,O 0 ,O ,O 0 0 
Punitaqui ,12165 ,13 ,106.9 ,2 ,16.4 ,2 ,16.4 ,O O O O O O ,O 1 ,1 3 ,6 ,O 1 1 
Rio Hurtado ,4372 ,2 ,45.7 ,O ,0.0 ,O ,0.0 ,O O O 1 O O ,O O ,O 1 ,O ,O 0 O 
Salamanca ,29110 ,14 ,48.1 ,2 ,6.9 ,2 ,6.9 ,0 0 0 1 2 1 ,2 1 ,O 3 ,1 ,1 2 O 
Vicuna ,29741 ,14 ,47.1 ,4 ,13.4 ,4 ,13.4 ,0 O 0 O 0 0 ,0 0 ,1 2 ,5 ,3 3 0 
Total ,836096 ,552 ,66.0 ,103 ,12.3 ,102 ,12.2 ,0 0 7 21 19 14 ,12 9 ,15 55 ,172 ,150 65 13 
