,,,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas.Notificacion,oToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 
Alto Hospicio& ,129999 ,1815 ,1396.2 ,22 ,16.9 ,239 ,183.8 ,239 ,183.8 ,O 0 0 2 4 7 13 24 ,37 111 ,142 266 ,320 ,316 273 ,206 94 
Camina ,1375 ,16 ,1163.6 ,2 ,145.5 ,2 ,145.5 ,1 ,72.7 ,O 0 0 0 0 0 0 0 ,0 0 ,0 0 ,3 ,7 4 ,2 0 
Colchane ,1583 ,43 ,2716.4 ,2 ,126.3 ,28 ,1768.8 ,27 ,1705.6 ,0 0 0 0 0 0 O O ,O O ,0 0 ,2 ,1 9 ,18 13 
Huara ,3000 ,63 ,2100.0 ,2 ,66.7 ,12 ,400.0 ,12 ,400.0 ,O O 0 0 0 0 O 0 ,2 8 ,2 10 ,6 ,8 13 ,7 7 
Iquique& ,223463 ,2952 ,1321.0 ,50 ,22.4 ,550 ,246.1 ,548 ,245.2 ,O 0 O 9 6 14 11 21 ,42 104 ,259 401 ,502 ,451 439 ,438 255 
Pica ,5958 ,83 ,1393.1 ,0 ,0.0 ,18 ,302.1 ,18 ,302.1 ,O 0 0 0 1 7 14 10 ,0 1 ,4 1 ,7 ,8 9 ,11 10 
Pozo Almonte ,17395 ,342 ,1966.1 ,2 ,11.5 ,106 ,609.4 ,106 ,609.4 ,O 0 0 0 0 2 O O ,0 3 ,5 14 ,37 ,57 88 ,103 33 
Desconocido& ,- ,271 ,- ,0 ,- ,40 ,- ,40 ,- ,O 0 0 0 O 1 O 0 ,0 4 ,95 30 ,32 ,25 34 ,29 20 
Total ,382773 ,5585 ,1459.1 ,80 ,20.9 ,995 ,259.9 ,991 ,258.9 ,0 0 0 11 11 31 38 55 ,81 231 ,507 722 ,909 ,873 869 ,814 432 
