,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.Notificacion,oTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 ,SE SE 23 24 ,SE SE 25 26 
Cauquenes& ,44143 ,250 ,566.3 ,3 ,6.8 ,77 ,174.4 ,77 ,174.4 ,0 0 0 O 2 3 1 8 ,2 1 6 ,12 ,16 52 ,53 46 ,48 O 
Chanco& ,9331 ,26 ,278.6 ,0 ,0.0 ,13 ,139.3 ,13 ,139.3 ,0 0 0 0 1 0 0 1 ,1 0 1 ,0 ,1 O ,8 5 ,8 0 
Colbun& ,22565 ,98 ,434.3 ,O ,0.0 ,28 ,124.1 ,28 ,124.1 ,O 0 0 O 3 3 0 0 ,O 1 5 ,9 ,14 13 ,12 23 ,15 0 
Constitucion8 ,50348 ,118 ,234.4 ,1 ,2.0 ,58 ,115.2 ,58 ,115.2 ,O O O O 3 3 5 7 ,4 1 2 ,3 ,5 6 ,19 26 ,34 O 
Curepto& ,9426 ,23 ,244.0 ,1 ,10.6 ,8 ,84.9 ,8 ,84.9 ,0 0 O 0 O 3 2 3 ,O 1 1 ,2 ,O 1 ,1 3 ,6 0 
Curico& ,163626 ,1190 ,727.3 ,7 ,4.3 ,335 ,204.7 ,335 ,204.7 ,O 1 2 3 6 3 12 11 ,9 12 22 ,44 ,154 192 ,282 305 ,132 0 
Empedrado ,4206 ,19 ,451.7 ,O ,0.0 ,17 ,404.2 ,17 ,404.2 ,O 0 0 0 O 0 0 0 ,0 0 0 ,O ,0 0 ,2 6 ,11 0 
Hualane& ,10222 ,104 ,1017.4 ,1 ,9.8 ,15 ,146.7 ,15 ,146.7 ,0 0 O O O 0 O 1 ,0 0 O ,5 ,14 28 ,30 20 ,6 0 
Licanten& ,6989 ,15 ,214.6 ,0 ,0.0 ,5 ,71.5 ,5 ,71.5 ,0 0 O O O 1 0 1 ,0 0 O ,O ,O 2 ,5 4 ,2 0 
Linares& ,101073 ,280 ,277.0 ,2 ,2.0 ,117 ,115.8 ,117 ,115.8 ,1 0 0 2 5 5 4 6 ,3 4 13 ,16 ,19 29 ,42 82 ,49 0 
Longavi ,32810 ,160 ,487.7 ,1 ,3.0 ,58 ,176.8 ,58 ,176.8 ,0 0 0 1 O 1 1 1 ,0 2 5 ,13 ,10 23 ,30 48 ,25 O 
Maule& ,60000 ,162 ,270.0 ,0 ,0.0 ,35 ,58.3 ,35 ,58.3 ,0 0 O 1 1 2 6 14 ,1 0 3 ,13 ,13 31 ,30 30 ,17 0 
Molina& ,49800 ,104 ,208.8 ,2 ,4.0 ,33 ,66.3 ,33 ,66.3 ,0 0 0 1 2 0 1 3 ,0 0 2 ,4 ,9 22 ,24 22 ,14 0 
Parral8 ,44544 ,197 ,442.3 ,0 ,0.0 ,33 ,74.1 ,33 ,74.1 ,0 0 0 1 3 2 2 2 ,0 0 6 ,6 ,42 56 ,34 23 ,20 0 
Pelarco& ,9083 ,36 ,396.3 ,0 ,0.0 ,3 ,33.0 ,3 ,33.0 ,0 0 0 0 O 0 3 2 ,0 2 5 ,4 ,4 6 ,6 3 ,1 O 
Pelluhue& ,8092 ,51 ,630.3 ,0 ,0.0 ,14 ,173.0 ,14 ,173.0 ,0 0 0 1 O 0 1 O ,O 0 1 ,7 ,1 9 ,12 13 ,6 0 
Pencahue ,8601 ,25 ,290.7 ,0 ,0.0 ,5 ,58.1 ,5 ,58.1 ,0 0 0 0 O 0 0 3 ,0 0 0 ,O ,8 4 ,3 6 ,1 0 
Rauco& ,11248 ,39 ,346.7 ,0 ,0.0 ,10 ,88.9 ,10 ,88.9 ,O 0 0 O 1 1 O 1 ,0 0 1 ,1 ,7 6 ,6 15 ,O 0 
Retiro ,21071 ,108 ,512.6 ,0 ,0.0 ,21 ,99.7 ,21 ,99.7 ,1 0 0 0 O 0 1 O ,0 1 O ,1 ,17 43 ,17 19 ,8 0 
Rio Claro ,14753 ,35 ,237.2 ,2 ,13.6 ,9 ,61.0 ,9 ,61.0 ,0 0 0 2 O 1 1 3 ,2 0 2 ,2 ,1 8 ,3 4 ,6 0 
