,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE 15 16 17 ,SE 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 
Chepica8 ,15925 ,6 ,37.7 ,1 ,6.3 ,1 ,6.3 ,O O O O ,O O ,O O O ,O ,O 5 ,O ,1 O 
Chimbarongo ,37696 ,23 ,61.0 ,3 ,8.0 ,3 ,8.0 ,0 O 0 1 ,1 0 ,0 O O ,1 ,5 10 ,2 ,2 1 
Codegua ,14096 ,11 ,78.0 ,5 ,35.5 ,5 ,35.5 ,O O O 1 ,0 O ,0 O 1 ,O ,1 3 ,2 ,3 O 
Coinco& ,7831 ,17 ,217.1 ,2 ,25.5 ,2 ,25.5 ,O O O O ,O O ,O O 1 ,O ,4 9 ,2 ,1 O 
Coltauco ,21263 ,28 ,131.7 ,1 ,4.7 ,1 ,4.7 ,O O O O ,O 0 ,0 0 O ,0 ,15 8 ,4 ,1 O 
Donihue8 ,22700 ,35 ,154.2 ,2 ,8.8 ,2 ,8.8 ,0 0 0 O ,O 0 ,0 1 O ,4 ,9 14 ,7 ,0 0 
Graneros ,36504 ,47 ,128.8 ,3 ,8.2 ,3 ,8.2 ,O O O O ,O O ,O O 3 ,7 ,13 17 ,6 ,1 O 
La Estrella ,3114 ,1 ,32.1 ,1 ,32.1 ,1 ,32.1 ,O O O O ,O O ,O O O ,0 ,O O ,0 ,1 O 
Las Cabras& ,26749 ,20 ,74.8 ,3 ,11.2 ,3 ,11.2 ,0 O O O ,O 0 ,1 2 4 ,3 ,2 4 ,2 ,2 O 
Litueche ,6765 ,13 ,192.2 ,2 ,29.6 ,2 ,29.6 ,O O O 0 ,0 0 ,0 1 5 ,2 ,2 1 ,O ,1 1 
Lolol ,7289 ,10 ,137.2 ,7 ,96.0 ,7 ,96.0 ,O O O O ,O O ,0 O O ,0 ,1 2 ,O ,7 O 
Machali ,59913 ,66 ,110.2 ,19 ,31.7 ,19 ,31.7 ,O O 1 4 ,1 O ,4 O 5 ,3 ,7 13 ,14 ,10 4 
Malloa ,14163 ,4 ,28.2 ,1 ,7.1 ,0 ,0.0 ,0 O O 0 ,O O ,0 0 O ,0 ,1 2 ,O ,1 O 
Marchihue ,7632 ,1 ,13.1 ,O ,0.0 ,O ,0.0 ,0 0 O O ,0 0 ,0 0 0 ,O ,O 0 ,1 ,O O 
Mostazal& ,27462 ,20 ,72.8 ,6 ,21.8 ,6 ,21.8 ,0 O O O ,O O ,0 0 O ,3 ,4 5 ,2 ,6 O 
Nancagua ,19141 ,16 ,83.6 ,4 ,20.9 ,4 ,20.9 ,O O O O ,O 0 ,0 0 0 ,1 ,1 9 ,1 ,4 O 
Navidad ,6904 ,13 ,188.3 ,1 ,14.5 ,1 ,14.5 ,0 O O O ,O O ,0 0 3 ,O ,6 2 ,1 ,0 1 
Olivar8 ,14624 ,25 ,171.0 ,3 ,20.5 ,3 ,20.5 ,O 0 0 O ,1 2 ,2 1 0 ,O ,8 3 ,7 ,1 O 
