,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE 20 21 ,SE SE 22 23 
Cauquenes' ,44143 ,63 ,142.7 ,33 ,74.8 ,33 ,74.8 ,O O O O ,2 3 ,1 5 ,2 1 ,3 ,12 10 ,24 O 
Chanco ,9331 ,4 ,42.9 ,1 ,10.7 ,1 ,10.7 ,O 0 O O ,1 0 ,O 1 ,1 0 ,O ,O O ,1 0 
Colbun ,22565 ,33 ,146.2 ,11 ,48.7 ,11 ,48.7 ,O O O O ,3 3 ,O O ,O 1 ,4 ,9 10 ,3 O 
Constitucion ,50348 ,35 ,69.5 ,6 ,11.9 ,6 ,11.9 ,0 O O O ,3 3 ,5 7 ,4 1 ,2 ,3 5 ,2 O 
Curepto ,9426 ,13 ,137.9 ,1 ,10.6 ,1 ,10.6 ,O O O O ,O 3 ,2 3 ,O 1 ,1 ,2 0 ,1 O 
Curico ,163626 ,279 ,170.5 ,156 ,95.3 ,156 ,95.3 ,O 1 3 3 ,6 3 ,12 9 ,10 9 ,18 ,41 126 ,38 0 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O 0 ,O O ,O O ,O ,O O ,0 O 
Hualane ,10222 ,21 ,205.4 ,16 ,156.5 ,16 ,156.5 ,O O O O ,O 0 ,O 1 ,O 0 ,O ,3 14 ,3 O 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,O 1 ,O 1 ,O 0 ,O ,O O ,0 O 
Linares ,101073 ,84 ,83.1 ,22 ,21.8 ,22 ,21.8 ,1 O O 2 ,5 5 ,4 6 ,3 4 ,12 ,17 16 ,9 O 
Longavi ,32810 ,31 ,94.5 ,11 ,33.5 ,11 ,33.5 ,O O O 1 ,O 1 ,1 1 ,O 2 ,5 ,9 7 ,4 O 
Maule ,60000 ,52 ,86.7 ,12 ,20.0 ,12 ,20.0 ,O O O 1 ,1 2 ,6 12 ,2 0 ,3 ,12 10 ,3 O 
Molina & ,49800 ,23 ,46.2 ,10 ,20.1 ,10 ,20.1 ,O 0 0 1 ,2 0 ,1 3 ,O 0 ,2 ,4 8 ,2 0 
Parral ,44544 ,72 ,161.6 ,48 ,107.8 ,48 ,107.8 ,0 O O 1 ,3 2 ,2 1 ,0 0 ,6 ,5 48 ,4 0 
Pelarco ,9083 ,21 ,231.2 ,4 ,44.0 ,4 ,44.0 ,0 O O O ,O O ,3 2 ,O 2 ,4 ,5 4 ,1 O 
Pelluhue ,8092 ,10 ,123.6 ,0 ,0.0 ,O ,0.0 ,0 O 0 1 ,0 0 ,1 0 ,0 0 ,1 ,6 1 ,0 0 
Pencahue ,8601 ,12 ,139.5 ,9 ,104.6 ,9 ,104.6 ,O O O O ,O O ,O 3 ,O 0 ,O ,O 8 ,1 O 
Rauco ,11248 ,12 ,106.7 ,7 ,62.2 ,7 ,62.2 ,O O O O ,1 1 ,O 1 ,O O ,1 ,1 6 ,1 O 
Retiro' ,21071 ,19 ,90.2 ,14 ,66.4 ,14 ,66.4 ,1 O O O ,O O ,1 O ,O 1 ,0 ,1 14 ,1 O 
Rio Claro ,14753 ,16 ,108.5 ,3 ,20.3 ,2 ,13.6 ,0 O 0 2 ,0 1 ,1 3 ,2 0 ,2 ,2 1 ,2 O 
