,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE 14 15 16 17 ,SE 18 ,SE SE SE SE 19 20 21 22 
Bulnes& ,22607 ,160 ,707.7 ,55 ,243.3 ,55 ,243.3 ,O O O 10 ,27 ,10 7 7 6 ,9 ,23 43 18 O 
Chillan& ,198624 ,550 ,276.9 ,96 ,48.3 ,96 ,48.3 ,0 1 28 119 ,116 ,76 33 25 17 ,15 ,20 61 39 O 
Chillan Viejo& ,33827 ,91 ,269.0 ,30 ,88.7 ,30 ,88.7 ,O O 5 7 ,19 ,7 14 3 1 ,O ,4 15 16 O 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O ,O ,O O O O 
Coelemu ,16845 ,8 ,47.5 ,4 ,23.7 ,4 ,23.7 ,0 0 O 0 ,2 ,2 0 0 0 ,0 ,0 2 2 O 
Coihueco& ,28375 ,52 ,183.3 ,9 ,31.7 ,9 ,31.7 ,0 0 O 2 ,3 ,4 6 12 12 ,3 ,1 8 1 O 
EI Carmen ,12334 ,7 ,56.8 ,3 ,24.3 ,3 ,24.3 ,O O O 2 ,0 ,1 O O O ,0 ,1 2 1 O 
Ninhue ,5414 ,6 ,110.8 ,2 ,36.9 ,2 ,36.9 ,O O O 0 ,O ,2 O 2 O ,0 ,O 1 1 O 
Niquen ,11567 ,9 ,77.8 ,6 ,51.9 ,6 ,51.9 ,0 O O 0 ,0 ,1 2 O O ,O ,0 4 2 O 
Pemuco ,8639 ,10 ,115.8 ,1 ,11.6 ,1 ,11.6 ,O O O 1 ,O ,4 1 O O ,O ,3 1 0 O 
Pinto& ,11880 ,15 ,126.3 ,3 ,25.3 ,3 ,25.3 ,O O O 2 ,3 ,5 1 1 O ,0 ,O 3 0 O 
Portezuelo ,4940 ,7 ,141.7 ,5 ,101.2 ,5 ,101.2 ,0 O O 0 ,0 ,0 0 0 0 ,O ,1 4 2 O 
Quillon& ,18777 ,44 ,234.3 ,12 ,63.9 ,12 ,63.9 ,O O 8 ,8 ,8 1 0 2 ,2 ,2 9 4 O 
Quirihue ,12192 ,16 ,131.2 ,2 ,16.4 ,2 ,16.4 ,O O O O ,1 ,2 0 1 O ,1 ,7 4 O O 
Ranquil ,6261 ,10 ,159.7 ,O ,0.0 ,O ,0.0 ,0 O O 1 ,3 ,6 0 O O ,0 ,0 0 0 O 
San Carlos& ,56252 ,55 ,97.8 ,11 ,19.6 ,11 ,19.6 ,0 0 2 5 ,10 ,9 2 3 3 ,3 ,5 8 5 O 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,0 O O 3 ,3 ,1 0 1 O ,O ,O O O O 
San Ignacio& ,16624 ,16 ,96.2 ,4 ,24.1 ,4 ,24.1 ,O O O 2 ,2 ,1 O 1 3 ,3 ,0 2 2 O 
San Nicolas& ,12172 ,25 ,205.4 ,7 ,57.5 ,7 ,57.5 ,0 O O 2 ,6 ,4 4 0 0 ,O ,2 2 5 O 
Treguaco ,5696 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O ,0 ,0 O O 0 ,O ,O 0 0 O 
Yungay ,18596 ,59 ,317.3 ,2 ,10.8 ,2 ,10.8 ,O O O 3 ,16 ,21 3 4 6 ,2 ,2 2 0 O 
Total ,511551 ,1148 ,224.4 ,252 ,49.3 ,252 ,49.3 ,0 1 35 167 ,219 ,164 74 60 50 ,38 ,71 171 98 0 
