Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,106 ,249.7 ,2 ,4.7 ,5 ,11.8 ,5 ,11.8 
Calbuco ,36744 ,169 ,459.9 ,2 ,5.4 ,34 ,92.5 ,34 ,92.5 
Castro ,47607 ,14 ,29.4 ,O ,0.0 ,5 ,10.5 ,5 ,10.5 
Chaiten ,5020 ,11 ,219.1 ,0 ,0.0 ,1 ,19.9 ,1 ,19.9 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,4006 ,13 ,324.5 ,0 ,0.0 ,5 ,124.8 ,5 ,124.8 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,7 ,46.5 ,1 ,6.6 ,O ,0.0 ,O ,0.0 
Fresia ,& 12656 ,28 ,221.2 ,2 ,15.8 ,5 ,39.5 ,5 ,39.5 
Frutillar ,20223 ,145 ,717.0 ,0 ,0.0 ,6 ,29.7 ,6 ,29.7 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,& 9525 ,20 ,210.0 ,1 ,10.5 ,6 ,63.0 ,6 ,63.0 
Llanquihue ,18621 ,79 ,424.3 ,1 ,5.4 ,10 ,53.7 ,10 ,53.7 
Los Muermos ,17817 ,47 ,263.8 ,O ,0.0 ,7 ,39.3 ,7 ,39.3 
Maullin ,14894 ,57 ,382.7 ,O ,0.0 ,15 ,100.7 ,15 ,100.7 
Osorno ,173410 ,634 ,365.6 ,12 ,6.9 ,64 ,36.9 ,64 ,36.9 
Palena ,1827 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Puerto Montt ,& 269398 ,1467 ,544.5 ,8 ,3.0 ,410 ,152.2 ,410 ,152.2 
Puerto Octay ,9192 ,9 ,97.9 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Puerto Varas ,48620 ,127 ,261.2 ,1 ,2.1 ,25 ,51.4 ,25 ,51.4 
Puqueldon ,4201 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
