,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Cases Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE SE 13 14 ,SE 15 ,SE SE 16 17 
Ango & ,56058 ,106 ,189.1 ,41 ,73.1 ,41 ,73.1 ,O 1 1 ,3 ,10 9 ,17 ,35 28 
Carahue & ,25486 ,30 ,117.7 ,2 ,7.8 ,2 ,7.8 ,O O O ,1 ,3 9 ,9 ,7 1 
Cholchol ,12341 ,6 ,48.6 ,O ,0.0 ,O ,0.0 ,O O 0 ,1 ,3 O ,1 ,1 0 
Collipulli ,26148 ,4 ,15.3 ,3 ,11.5 ,2 ,7.6 ,O O 0 ,O ,0 O ,1 ,1 2 
Cunco & ,18055 ,5 ,27.7 ,O ,0.0 ,O ,0.0 ,O O O ,O ,3 2 ,O ,O O 
Curacautin & ,18178 ,5 ,27.5 ,1 ,5.5 ,1 ,5.5 ,O 0 O ,2 ,O 2 ,O ,O 1 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O O 1 ,1 ,2 O ,O ,O O 
Ercilla ,8458 ,10 ,118.2 ,4 ,47.3 ,4 ,47.3 ,O O O ,O ,0 3 ,1 ,4 1 
Freire ,25446 ,7 ,27.5 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,2 ,3 O ,O ,2 0 
Galvarino ,12633 ,2 ,15.8 ,0 ,0.0 ,O ,0.0 ,0 O 0 ,O ,1 1 ,O ,O O 
Gorbea ,15148 ,12 ,79.2 ,1 ,6.6 ,1 ,6.6 ,O O 1 ,4 ,4 1 ,O ,2 O 
Lautaro & ,40746 ,38 ,93.3 ,2 ,4.9 ,2 ,4.9 ,1 O O ,6 ,4 12 ,7 ,6 2 
Loncoche & ,24739 ,18 ,72.8 ,5 ,20.2 ,5 ,20.2 ,O O O ,2 ,2 2 ,5 ,3 3 
Lonquimay ,11049 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O ,0 O ,O ,O O 
Los Sauces ,7517 ,1 ,13.3 ,0 ,0.0 ,O ,0.0 ,O O O ,O ,O O ,O ,1 O 
Lumaco ,10050 ,6 ,59.7 ,5 ,49.8 ,5 ,49.8 ,0 O 0 ,O ,O O ,O ,4 2 
Melipeuco ,6265 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O ,O O ,O ,O O 
Nueva Imperial & ,33777 ,47 ,139.1 ,4 ,11.8 ,4 ,11.8 ,0 0 0 ,6 ,11 6 ,13 ,7 3 
Padre Las Casas & ,82110 ,98 ,119.4 ,12 ,14.6 ,12 ,14.6 ,O O O ,12 ,28 21 ,12 ,16 9 
Perquenco & ,7223 ,5 ,69.2 ,O ,0.0 ,0 ,0.0 ,O O O ,1 ,1 O ,O ,3 O 
Pitrufquen & ,26096 ,20 ,76.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,4 ,9 5 ,O ,2 0 
Pucon ,29782 ,14 ,47.0 ,2 ,6.7 ,2 ,6.7 ,O O 1 ,3 ,O 4 ,3 ,1 2 
