,,,,,,,,Numerode,CasossegunFecha,deInicio,deSintomas,(segun,semana,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 12 ,13 ,14 ,15 16 ,17 ,18 19 
Alto Biobio ,6775 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 ,0 ,0 O ,0 ,0 0 
Antuco ,4306 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 ,0 ,0 0 ,0 ,0 0 
Arauco ,38679 ,6 ,15.5 ,0 ,0.0 ,0 ,0.0 ,0 O ,1 2 ,2 ,1 ,0 0 ,O ,0 O 
Cabrero ,30725 ,16 ,52.1 ,2 ,6.5 ,2 ,6.5 ,O 0 ,O 1 ,0 ,3 ,3 7 ,1 ,1 0 
Canete ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O ,O O ,O ,O ,O O ,0 ,0 0 
Chiguayante ,91180 ,69 ,75.7 ,11 ,12.1 ,11 ,12.1 ,0 0 ,5 5 ,9 ,16 ,11 10 ,10 ,3 0 
Concepcion ,238092 ,141 ,59.2 ,9 ,3.8 ,9 ,3.8 ,1 1 ,6 26 ,30 ,22 ,21 17 ,14 ,3 O 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,O 0 ,0 ,O ,O 0 ,0 ,0 0 
Coronel ,125829 ,22 ,17.5 ,4 ,3.2 ,4 ,3.2 ,0 0 ,1 6 ,6 ,3 ,1 0 ,5 ,0 0 
Curanilahue ,33892 ,1 ,3.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 1 ,0 ,0 ,0 0 ,0 ,0 0 
Florida ,11841 ,3 ,25.3 ,O ,0.0 ,0O ,0.0 ,0 O ,O 0 ,2 ,1 ,O O ,0 ,0 0 
Hualpen ,97273 ,115 ,118.2 ,4 ,4.1 ,4 ,4.1 ,0 0 ,3 23 ,33 ,26 ,17 9 ,2 ,2 0 
Hualqui ,26201 ,20 ,76.3 ,0 ,0.0 ,0 ,0.0 ,0 0 ,1 1 ,2 ,3 ,4 9 ,0 ,0 0 
Laja ,23873 ,12 ,50.3 ,5 ,20.9 ,5 ,20.9 ,0 1 ,1 0 ,3 ,0 ,1 1 ,5 ,0 O 
Lebu ,27100 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 ,0 ,0 O ,0 ,0 0 
Los Alamos ,22524 ,1 ,4.4 ,O ,0.0 ,0 ,0.0 ,O O ,O 0 ,0 ,O ,1 O ,0 ,0 O 
Los Angeles ,218515 ,31 ,14.2 ,0 ,0.0 ,0 ,0.0 ,0 0 ,3 6 ,9 ,6 ,4 3 ,0 ,0 O 
Lota ,45750 ,2 ,4.4 ,1 ,2.2 ,1 ,2.2 ,0 O ,O 1 ,O ,0 ,O 0 ,O ,1 O 
Mulchen ,31041 ,6 ,19.3 ,1 ,3.2 ,1 ,3.2 ,O O ,O 1 ,4 ,O ,O O ,O ,1 O 
Nacimiento ,27944 ,12 ,42.9 ,2 ,7.2 ,2 ,7.2 ,O O ,0 2 ,3 ,3 ,2 O ,0 ,2 0 
Negrete ,10429 ,2 ,19.2 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 ,2 ,O 0 ,0 ,0 0 
Penco ,49865 ,20 ,40.1 ,2 ,4.0 ,2 ,4.0 ,0 O ,O 1 ,3 ,3 ,3 8 ,0 ,2 0 
