,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.,,NotificacionO,Tomade,Muestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE SE SE SE SE 21 22 23 24 25 ,SE SE 26 27 
Cauquenes& ,44143 ,293 ,663.8 ,4 ,9.1 ,66 ,149.5 ,66 ,149.5 ,0 0 O 0 2 3 ,1 ,9 2 1 ,6 12 ,15 52 55 46 52 ,35 2 
Chanco ,9331 ,29 ,310.8 ,O ,0.0 ,1 ,10.7 ,1 ,10.7 ,0 0 0 0 1 0 ,0 ,1 1 0 ,1 0 ,1 0 8 6 9 ,1 0 
Colbun ,22565 ,116 ,514.1 ,O ,0.0 ,29 ,128.5 ,29 ,128.5 ,0 O O 0 3 3 ,O ,0 0 1 ,4 9 ,13 15 10 23 23 ,12 0 
Constitucion ,50348 ,172 ,341.6 ,2 ,4.0 ,67 ,133.1 ,67 ,133.1 ,0 O O 0 3 3 ,5 ,7 4 1 ,2 3 ,5 6 19 24 49 ,39 2 
Curepto ,9426 ,30 ,318.3 ,2 ,21.2 ,7 ,74.3 ,7 ,74.3 ,0 0 O O O 3 ,2 ,3 0 1 ,1 2 ,O 1 1 3 9 ,4 O 
Curico& ,163626 ,1414 ,864.2 ,11 ,6.7 ,309 ,188.8 ,307 ,187.6 ,0 1 2 3 6 3 ,12 ,10 10 12 ,20 43 ,148 192 276 264 237 ,172 3 
Empedrado ,4206 ,26 ,618.2 ,O ,0.0 ,16 ,380.4 ,16 ,380.4 ,0 0 0 0 0 0 ,0 ,0 0 0 ,O 0 ,0 O 2 6 14 ,4 0 
Hualane ,10222 ,112 ,1095.7 ,1 ,9.8 ,10 ,97.8 ,10 ,97.8 ,0 0 0 0 O 0 ,O ,1 0 0 ,O 3 ,15 29 29 20 11 ,4 0 
Licanten ,6989 ,19 ,271.9 ,0 ,0.0 ,5 ,71.5 ,5 ,71.5 ,0 0 O 0 O 1 ,0 ,1 O 0 ,O O ,O 2 5 4 5 ,1 0 
Linares& ,101073 ,381 ,377.0 ,6 ,5.9 ,110 ,108.8 ,110 ,108.8 ,1 0 0 2 5 5 ,4 ,6 3 4 ,13 17 ,18 30 43 80 90 ,58 2 
Longavi ,32810 ,178 ,542.5 ,1 ,3.0 ,20 ,61.0 ,20 ,61.0 ,0 0 0 1 0 1 ,1 ,1 0 2 ,5 12 ,11 23 28 50 32 ,11 0 
Maule& ,60000 ,220 ,366.7 ,0 ,0.0 ,47 ,78.3 ,47 ,78.3 ,0 0 O 1 1 2 ,6 ,13 2 0 ,3 13 ,13 30 31 34 50 ,21 0 
Molina ,49800 ,174 ,349.4 ,2 ,4.0 ,67 ,134.5 ,67 ,134.5 ,0 O 0 1 2 0 ,1 ,3 O 0 ,2 4 ,9 22 24 24 45 ,37 0 
Parral ,44544 ,221 ,496.1 ,0 ,0.0 ,25 ,56.1 ,25 ,56.1 ,0 0 0 1 3 2 ,2 ,2 0 0 ,6 6 ,42 56 33 25 31 ,12 0 
Pelarco ,9083 ,39 ,429.4 ,1 ,11.0 ,4 ,44.0 ,4 ,44.0 ,0 0 0 0 O 0 ,3 ,2 0 2 ,4 5 ,4 5 6 3 3 ,2 O 
Pelluhue ,8092 ,55 ,679.7 ,1 ,12.4 ,5 ,61.8 ,5 ,61.8 ,0 0 O 1 0 0 ,1 ,O 0 0 ,1 7 ,1 9 12 13 10 ,0 0 
Pencahue& ,8601 ,34 ,395.3 ,0 ,0.0 ,7 ,81.4 ,7 ,81.4 ,0 0 0 0 0 0 ,0 ,3 0 0 ,O 0 ,8 4 3 7 3 ,6 0 
Rauco ,11248 ,49 ,435.6 ,0 ,0.0 ,10 ,88.9 ,10 ,88.9 ,0 0 0 0 1 1 ,0 ,1 0 0 ,1 1 ,7 6 6 15 3 ,7 0 
Retiro& ,21071 ,118 ,560.0 ,O ,0.0 ,11 ,52.2 ,11 ,52.2 ,0 0 0 0 O O ,1 ,O 0 1 ,O 1 ,17 44 17 19 13 ,5 0 
Rio Claro ,14753 ,52 ,352.5 ,2 ,13.6 ,18 ,122.0 ,18 ,122.0 ,0 0 O 2 O 1 ,1 ,3 2 O ,2 2 ,1 8 3 4 14 ,9 0 
