,,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE 16 17 ,SE SE 18 19 ,SE SE 20 21 
Ango ,56058 ,127 ,226.6 ,6 ,10.7 ,6 ,10.7 ,O 1 1 3 ,10 11 ,15 ,35 27 ,11 10 ,3 0 
Carahue ,25486 ,39 ,153.0 ,3 ,11.8 ,3 ,11.8 ,O O 0 O ,3 10 ,9 ,8 5 ,1 0 ,O 3 
Cholchol ,12341 ,6 ,48.6 ,2 ,16.2 ,2 ,16.2 ,0 0 0 1 ,2 0 ,0 ,1 0 ,0 1 ,0 1 
Collipulli ,26148 ,12 ,45.9 ,4 ,15.3 ,4 ,15.3 ,O 0 O O ,O 1 ,1 ,1 3 ,O 2 ,3 1 
Cunco ,18055 ,20 ,110.8 ,13 ,72.0 ,13 ,72.0 ,O O 0 O ,3 2 ,O ,1 O ,0 1 ,5 8 
Curacautin ,18178 ,7 ,38.5 ,0 ,0.0 ,0 ,0.0 ,O O O 2 ,O 2 ,O ,O 2 ,0 1 ,0 0 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,O O 1 1 ,2 O ,O ,0 0 ,0 O ,0 0 
Ercilla ,8458 ,11 ,130.1 ,0 ,0.0 ,0 ,0.0 ,O O 0 O ,O 4 ,1 ,4 1 ,1 0 ,O 0 
Freire ,25446 ,29 ,114.0 ,14 ,55.0 ,14 ,55.0 ,0 0 0 2 ,4 0 ,O ,2 0 ,0 11 ,9 1 
Galvarino ,12633 ,3 ,23.7 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O ,1 1 ,O ,0 0 ,1 0 ,O 0 
Gorbea ,15148 ,17 ,112.2 ,1 ,6.6 ,1 ,6.6 ,O O 1 4 ,4 1 ,O ,2 O ,1 3 ,O 1 
Lautaro' ,40746 ,56 ,137.4 ,8 ,19.6 ,8 ,19.6 ,1 O 0 6 ,3 15 ,5 ,6 2 ,7 9 ,2 0 
Loncoche ,24739 ,21 ,84.9 ,2 ,8.1 ,2 ,8.1 ,O O 0 2 ,3 2 ,4 ,3 3 ,1 2 ,1 0 
Lonquimay ,11049 ,55 ,497.8 ,33 ,298.7 ,33 ,298.7 ,O O 0 0 ,O O ,O ,O 2 ,13 12 ,23 5 
Los Sauces ,7517 ,1 ,13.3 ,0 ,0.0 ,O ,0.0 ,O O 0 O ,O O ,O ,1 O ,O O ,O 0 
Lumaco ,10050 ,8 ,79.6 ,1 ,10.0 ,1 ,10.0 ,O 0 0 O ,O O ,O ,4 2 ,1 0 ,1 0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O ,O O ,O ,O O ,O O ,O 0 
Nueva Imperial ,33777 ,52 ,154.0 ,5 ,14.8 ,5 ,14.8 ,0 0 0 4 ,9 4 ,12 ,7 3 ,2 6 ,5 0 
Padre Las Casas ,82110 ,127 ,154.7 ,18 ,21.9 ,18 ,21.9 ,O O 0 12 ,28 24 ,17 ,15 11 ,0 5 ,12 3 
Perquenco ,7223 ,5 ,69.2 ,0 ,0.0 ,0 ,0.0 ,O O O 1 ,1 O ,O ,3 O ,0 O ,O 0 
Pitrufquen ,26096 ,25 ,95.8 ,7 ,26.8 ,7 ,26.8 ,O 0 0 4 ,8 4 ,O ,2 O ,O O ,6 1 
