,,,,,Numero,deCasos,segunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE 14 15 ,SE SE SE 16 17 18 
Chepica ,15925 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O 0 O 
Chimbarongo ,37696 ,2 ,5.3 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 ,O O ,O O O 
Codegua ,14096 ,1 ,7.1 ,O ,0.0 ,O ,0.0 ,O O O ,1 O ,O O ,O O O 
Coinco ,7831 ,1 ,12.8 ,1 ,12.8 ,1 ,12.8 ,O O O ,O O ,O O ,O 1 0 
Coltauco ,21263 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O O 
Donihue ,22700 ,1 ,4.4 ,1 ,4.4 ,1 ,4.4 ,O O O ,O O ,O O ,1 O O 
Graneros ,36504 ,2 ,5.5 ,2 ,5.5 ,2 ,5.5 ,O O O ,O O ,O O ,O 2 O 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O O 
Las Cabras ,26749 ,3 ,11.2 ,2 ,7.5 ,2 ,7.5 ,O O O ,O O ,O 1 ,2 O O 
Litueche ,6765 ,3 ,44.3 ,3 ,44.3 ,3 ,44.3 ,O 0 O ,O O ,0 0 ,0 3 0 
Lolol ,7289 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O 0 
Machali ,59913 ,16 ,26.7 ,5 ,8.3 ,5 ,8.3 ,O O 1 ,5 1 ,O 4 ,O 5 O 
Malloa ,14163 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O ,O O ,O O O 
Marchihue ,7632 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O 0 
Mostazal ,27462 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O ,O O ,O O 0 
Nancagua ,19141 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O ,O O ,O O O 
Navidad ,6904 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O O 
Olivar ,14624 ,6 ,41.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 ,2 2 ,1 O O 
Palmilla ,13299 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O O 
Paredones ,6349 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,0 O ,0 O O 
