Region,Poblacion,Confirmados,Tasaincidencia
Chepica ,15.925 ,- ,"0,0 "
Chimbarongo ,37.696 ,- ,"5,3 "
Codegua ,14.096 ,- ,"0,0 "
Coinco ,7.831 ,- ,"0,0 "
Coltauco ,21.263 ,- ,"0,0 "
Donihue ,22.700 ,- ,"0,0 "
Graneros ,36.504 ,- ,"0,0 "
La Estrella ,3.114 ,- ,"0,0 "
Las Cabras ,26.749 ,- ,"0,0 "
Litueche ,6.765 ,- ,"0,0 "
Lolol ,7.289 ,- ,"0,0 "
Machali ,59.913 ,8 ,"13,4 "
Malloa ,14.163 ,- ,"0,0 "
Marchihue ,7.632 ,- ,"0,0 "
Mostazal ,27.462 ,- ,"0,0 "
Nancagua ,19.141 ,- ,"0,0 "
Navidad ,6.904 ,- ,"0,0 "
Olivar ,14.624 ,- ,"13,7 "
Palmilla ,13.299 ,- ,"0,0 "
Paredones ,6.349 ,- ,"0,0 "
Peralillo ,11.848 ,- ,"0,0 "
Peumo ,14.952 ,- ,"6,7 "
Pichidegua ,20.743 ,- ,"0,0 "
Pichilemu ,17.882 ,- ,"0,0 "
Placilla ,9.164 ,- ,"10,9 "
Pumanque ,3.531 ,- ,"0,0 "
Quinta de Tilcoco ,13.877 ,- ,"14,4 "
Rancagua ,265.211 ,15 ,"5,7 "
Rengo ,63.710 ,- ,"1,6 "
Requinoa ,30.371 ,- ,"3,3 "
San Fernando ,78.642 ,4 ,"5,1 "
San Vicente ,50.617 ,4 ,"7,9 "
Santa Cruz ,41.096 ,- ,"4,9 "
Total ,991.063 ,43 ,"4,3 "
