,,,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas.,Notificacion,oTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE 16 17 18 ,SE 19 ,SE SE 20 21 ,SE SE 22 23 ,SE SE 24 25 
Cauquenes& ,44143 ,216 ,489.3 ,2 ,4.5 ,79 ,179.0 ,79 ,179.0 ,0 0 O 0 ,2 3 1 ,6 2 1 ,6 ,12 15 ,52 52 ,36 28 
Chanco ,9331 ,17 ,182.2 ,0 ,0.0 ,7 ,75.0 ,7 ,75.0 ,0 0 0 0 ,1 O 0 ,1 1 0 ,1 ,O 1 ,0 9 ,3 O 
Colbun& ,22565 ,84 ,372.3 ,0 ,0.0 ,28 ,124.1 ,28 ,124.1 ,0 0 0 0 ,3 3 O ,O 0 1 ,4 ,9 12 ,15 11 ,22 4 
Constitucion ,50348 ,81 ,160.9 ,0 ,0.0 ,31 ,61.6 ,31 ,61.6 ,0 0 0 0 ,3 3 5 ,7 4 1 ,2 ,3 5 ,6 18 ,20 4 
Curepto ,9426 ,15 ,159.1 ,1 ,10.6 ,2 ,21.2 ,2 ,21.2 ,0 0 0 0 ,0 3 2 ,3 0 1 ,1 ,2 O ,1 0 ,1 1 
Curico& ,163626 ,998 ,609.9 ,6 ,3.7 ,348 ,212.7 ,347 ,212.1 ,0 1 2 3 ,6 3 12 ,10 10 12 ,20 ,44 149 ,191 280 ,219 36 
Empedrado ,4206 ,7 ,166.4 ,0 ,0.0 ,6 ,142.7 ,6 ,142.7 ,0 0 0 0 ,0 O 0 ,O 0 0 ,0 ,0 0 ,0 2 ,3 2 
Hualane ,10222 ,102 ,997.8 ,1 ,9.8 ,32 ,313.1 ,32 ,313.1 ,0 0 0 0 ,0 O 0 ,1 0 0 ,0 ,3 15 ,30 28 ,18 7 
Licanten ,6989 ,13 ,186.0 ,0 ,0.0 ,6 ,85.8 ,6 ,85.8 ,0 0 0 0 ,0 1 0 ,1 0 0 ,0 ,0 O ,2 4 ,5 O 
Linares8 ,101073 ,224 ,221.6 ,1 ,1.0 ,84 ,83.1 ,84 ,83.1 ,1 0 O 2 ,5 5 4 ,6 3 4 ,12 ,17 18 ,30 41 ,50 26 
Longavi ,32810 ,137 ,417.6 ,1 ,3.0 ,62 ,189.0 ,62 ,189.0 ,0 0 0 1 ,0 1 1 ,1 0 2 ,5 ,12 11 ,23 27 ,40 13 
Maule& ,60000 ,146 ,243.3 ,0 ,0.0 ,37 ,61.7 ,37 ,61.7 ,0 0 0 1 ,1 2 6 ,13 2 0 ,3 ,13 13 ,30 31 ,25 6 
Molina& ,49800 ,83 ,166.7 ,2 ,4.0 ,22 ,44.2 ,22 ,44.2 ,0 0 0 1 ,2 0 1 ,3 0 0 ,2 ,4 9 ,21 24 ,16 0 
Parral8 ,44544 ,172 ,386.1 ,O ,0.0 ,31 ,69.6 ,31 ,69.6 ,0 0 0 1 ,3 2 2 ,1 0 0 ,6 ,5 41 ,55 33 ,22 1 
Pelarco ,9083 ,34 ,374.3 ,0 ,0.0 ,5 ,55.0 ,5 ,55.0 ,0 0 0 0 ,0 O 3 ,2 0 2 ,4 ,5 4 ,5 6 ,3 O 
Pelluhue& ,8092 ,47 ,580.8 ,0 ,0.0 ,16 ,197.7 ,16 ,197.7 ,0 0 0 1 ,0 O 1 ,0 0 0 ,1 ,7 1 ,9 11 ,11 5 
Pencahue ,8601 ,23 ,267.4 ,O ,0.0 ,6 ,69.8 ,6 ,69.8 ,O 0 0 0 ,0 O 0 ,3 0 0 ,O ,0 8 ,4 3 ,4 1 
Rauco ,11248 ,35 ,311.2 ,O ,0.0 ,15 ,133.4 ,15 ,133.4 ,0 0 0 0 ,1 1 O ,1 0 O ,1 ,1 7 ,6 7 ,10 O 
Retiro& ,21071 ,100 ,474.6 ,0 ,0.0 ,27 ,128.1 ,27 ,128.1 ,1 0 0 0 ,0 O 1 ,O 0 1 ,0 ,1 17 ,43 17 ,18 1 
