,,,Numerode,Casossegun,Fecha,deInicio,de,Sintomas.,,Notificacion,OToma,de,Muestra,,
de Notificacion Toma de Muestra ,Residencia ,SE SE SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
Region O ,Desconocida ,9 10 11 12 13 ,14 15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 29 
Region de Arica y Parinacota ,3 ,O O O O O ,O 1 ,O ,O O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,1 O 
Region de Tarapaca ,322 ,O O O O O ,O 1 ,O ,1 5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,22 ,17 ,23 O 
Region de Antofagasta ,152 ,O O O O O ,O O ,O ,5 O ,1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,32 ,27 O 
Region de Atacama ,12 ,O O O O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 ,O O 
Region de Coquimbo ,159 ,O O O 1 O ,3 1 ,1 ,1 2 ,1 ,3 ,10 ,8 ,9 ,29 ,14 ,24 ,15 ,37 O 
Region de Valparaiso ,401 ,O O O 2 3 ,2 1 ,1 ,O O ,11 ,8 ,5 ,42 ,29 ,37 ,65 ,58 ,78 ,59 O 
Region Metropolitana de Santiago ,18678 ,O O 7 10 15 ,55 175 ,362 ,592 772 ,1632 ,2569 ,2833 ,2056 ,1743 ,1687 ,1699 ,1117 ,730 ,624 O 
Region del Libertador General Bernardo OHiggins ,97 ,O O O O O ,O 2 ,O ,O O ,1 ,2 ,12 ,O ,8 ,4 ,20 ,12 ,7 ,29 O 
Region del Maule ,43 ,O O O 1 O ,O O ,O ,1 O ,O ,1 ,O ,4 ,7 ,7 ,11 ,5 ,O ,6 O 
Region del Nuble ,2 ,O O O O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,2 O 
Region del Biobio ,145 ,O O O 1 O ,O O ,O ,O O ,2 ,4 ,6 ,7 ,9 ,11 ,35 ,43 ,10 ,17 O 
Region de la Araucania ,9 ,O 0 O O 2 ,O O ,0 ,O O ,1 ,0 ,1 ,1 ,0 ,1 ,2 ,0 ,O ,1 0 
Region de Los Rios ,6 ,O O 1 O O ,O 1 ,1 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O ,O ,O O 
Region de Los Lagos ,56 ,O O 9 10 3 ,1 O ,O ,3 O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,11 O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O 
Region de Magallanes y la Antartica Chilena ,70 ,O O O 1 O ,1 42 ,14 ,4 2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 ,1 O 
