,,Numero,deCasos,segun,Fecha,deInicio,de,Sintomas.,Notificacion,O,Tomade,Muestra,
,Residencia ,SE SE SE ,SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 ,12 13 ,14 15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 26 
Region de Arica y Parinacota ,1 ,O O O ,O O ,O 1 ,O ,O O ,O ,O ,O ,O ,O ,O ,O O 
Region de Tarapaca ,271 ,O O O ,O O ,1 O ,O ,O 4 ,95 ,30 ,32 ,25 ,34 ,29 ,20 1 
Region de Antofagasta ,116 ,O O O ,O O ,O O ,O ,5 O ,1 ,1 ,O ,O ,5 ,12 ,89 3 
Region de Atacama ,3 ,O O O ,O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,3 0 
Region de Coquimbo ,123 ,O O O ,1 O ,1 O ,1 ,1 1 ,1 ,3 ,10 ,10 ,10 ,37 ,47 O 
Region de Valparaiso ,291 ,O O O ,1 3 ,2 1 ,1 ,O O ,11 ,8 ,6 ,44 ,38 ,55 ,119 2 
Region Metropolitana de Santiago ,18646 ,O O 6 ,9 11 ,43 209 ,386 ,616 806 ,1817 ,2859 ,2962 ,2299 ,2119 ,2093 ,2391 20 
Region del Libertador General Bernardo OHiggins ,150 ,O O O ,O O ,O 1 ,O ,O 1 ,1 ,2 ,12 ,O ,22 ,26 ,84 1 
Region del Maule ,31 ,O O O ,O O ,O O ,O ,O O ,O ,1 ,O ,4 ,7 ,7 ,12 O 
Region del Nuble ,O ,O O O ,O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O O 
Region del Biobio ,200 ,O O O ,1 O ,O O ,O ,O O ,1 ,3 ,6 ,9 ,12 ,57 ,108 3 
Region de la Araucania ,7 ,0 0 O ,O 1 ,O O ,0 ,O O ,1 ,O ,1 ,1 ,0 ,1 ,2 0 
Region de Los Rios ,5 ,O O 1 ,O O ,O 1 ,1 ,O O ,O ,O ,O ,1 ,O ,1 ,O O 
Region de Los Lagos ,44 ,O O 9 ,10 3 ,1 O ,O ,3 O ,O ,1 ,2 ,3 ,1 ,1 ,10 O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O 0 1 ,O O ,O O ,O ,O O ,O ,O ,0 ,O ,O ,O ,O O 
Region de Magallanes y la Antartica Chilena ,69 ,O 0 O ,1 O ,1 42 ,16 ,5 1 ,1 ,O ,O ,O ,O ,1 ,1 O 
