Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,112 ,263.8 ,2 ,4.7 ,5 ,11.8 ,5 ,11.8 
Calbuco ,36744 ,200 ,544.3 ,3 ,8.2 ,25 ,68.0 ,25 ,68.0 
Castro ,47607 ,28 ,58.8 ,O ,0.0 ,18 ,37.8 ,18 ,37.8 
Chaiten ,5020 ,12 ,239.0 ,O ,0.0 ,1 ,19.9 ,1 ,19.9 
Chonchi ,16013 ,1 ,6.2 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,& 4006 ,19 ,474.3 ,0 ,0.0 ,2 ,49.9 ,2 ,49.9 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,8 ,53.1 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 
Fresia ,12656 ,61 ,482.0 ,2 ,15.8 ,25 ,197.5 ,25 ,197.5 
Frutillar ,20223 ,176 ,870.3 ,0 ,0.0 ,28 ,138.5 ,28 ,138.5 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,20 ,210.0 ,1 ,10.5 ,O ,0.0 ,0 ,0.0 
Llanquihue ,& 18621 ,131 ,703.5 ,1 ,5.4 ,46 ,247.0 ,46 ,247.0 
Los Muermos ,17817 ,63 ,353.6 ,0 ,0.0 ,15 ,84.2 ,15 ,84.2 
Maullin ,& 14894 ,84 ,564.0 ,0 ,0.0 ,24 ,161.1 ,24 ,161.1 
Osorno ,& 173410 ,791 ,456.1 ,14 ,8.1 ,129 ,74.4 ,129 ,74.4 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Puerto Montt ,& 269398 ,2121 ,787.3 ,15 ,5.6 ,578 ,214.6 ,578 ,214.6 
Puerto Octay ,9192 ,19 ,206.7 ,O ,0.0 ,10 ,108.8 ,10 ,108.8 
Puerto Varas ,48620 ,167 ,343.5 ,1 ,2.1 ,36 ,74.0 ,36 ,74.0 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
