,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,
Corral ,5447 ,11 ,201.9 ,9 ,165.2 ,9 ,165.2 ,O O O O O O O 1 O O ,
Futrono ,15261 ,7 ,45.9 ,2 ,13.1 ,2 ,13.1 ,O O O 1 3 1 O O O O ,
La Union& ,39538 ,41 ,103.7 ,2 ,5.1 ,2 ,5.1 ,O O 1 5 8 5 5 9 4 2 ,
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O 1 1 O 0 O O O ,
Lanco ,17652 ,9 ,51.0 ,0 ,0.0 ,O ,0.0 ,O O O O 1 2 1 2 O 3 ,
Los Lagos ,20518 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O ,
Mafil ,7389 ,2 ,27.1 ,0 ,0.0 ,O ,0.0 ,O O O 1 O O O 1 O O ,
Mariquina ,23250 ,12 ,51.6 ,3 ,12.9 ,3 ,12.9 ,O O O 3 1 4 1 O O 0 ,
Paillaco ,20798 ,1 ,4.8 ,0 ,0.0 ,O ,0.0 ,O O 0 1 O O 0 O O 0 ,
Panguipulli8 ,35991 ,1 ,2.8 ,O ,0.0 ,O ,0.0 ,O O O O O O 0 O O 1 ,
Rio Bueno& ,32925 ,12 ,36.4 ,O ,0.0 ,O ,0.0 ,O O O 3 1 3 1 1 2 1 ,
Valdivia ,176774 ,125 ,70.7 ,3 ,1.7 ,3 ,1.7 ,O 1 1 26 32 25 17 8 8 4 ,
Total ,405835 ,223 ,54.9 ,19 ,4.7 ,19 ,4.7 ,0 1 2 41 47 40 25 22 14 11 ,
