Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril,SE15(4deabrilal11deabril)
Corral ,5447 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,O ,0 
Futrono ,15261 ,5 ,32.8 ,1 ,6.6 ,1 ,6.6 ,O ,O ,O ,1 ,3 ,1 ,O 
La Union ,39538 ,18 ,45.5 ,9 ,22.8 ,9 ,22.8 ,0 ,0 ,1 ,2 ,6 ,5 ,4 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,1 ,1 ,O ,O 
Lanco ,17652 ,2 ,11.3 ,1 ,5.7 ,1 ,5.7 ,0 ,0 ,0 ,0 ,1 ,1 ,O 
Los Lagos ,20518 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Mafil ,7389 ,1 ,13.5 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,1 ,O ,O ,O 
Mariquina ,23250 ,8 ,34.4 ,6 ,25.8 ,6 ,25.8 ,0 ,O ,O ,2 ,0 ,4 ,2 
Paillaco ,20798 ,1 ,4.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,1 ,0 ,0 ,O 
Panguipulli ,35991 ,2 ,5.6 ,1 ,2.8 ,1 ,2.8 ,0 ,O ,0 ,1 ,0 ,1 ,O 
Rio Bueno ,32925 ,10 ,30.4 ,4 ,12.1 ,4 ,12.1 ,0 ,O ,O ,4 ,2 ,4 ,O 
Valdivia ,176774 ,88 ,49.8 ,28 ,15.8 ,25 ,14.1 ,0 ,2 ,1 ,26 ,31 ,21 ,7 
Por determinar ,- ,1 ,- ,1 ,- ,1 ,- ,0 ,O ,O ,O ,O ,O ,1 
Total ,405835 ,138 ,34 ,50 ,12.3 ,47 ,11.6 ,0 ,2 ,2 ,39 ,44 ,37 ,13 
