,,,,,,,NumerodeCasos,segunFecha,deInicio,de,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE 20 21 ,SE 22 ,SE 23 
Alto Biobio ,6775 ,120 ,1771.2 ,64 ,944.6 ,64 ,944.6 ,0 O 0 ,0 0 ,O ,O 0 ,0 O ,0 ,7 42 ,49 ,22 
Antuco ,4306 ,19 ,441.2 ,5 ,116.1 ,5 ,116.1 ,O 0 0 ,0 O ,O ,O O ,0 0 ,2 ,2 1 ,13 ,1 
Arauco ,38679 ,75 ,193.9 ,30 ,77.6 ,30 ,77.6 ,O O 1 ,2 2 ,1 ,O O ,0 5 ,4 ,13 16 ,23 ,8 
Cabrero ,30725 ,34 ,110.7 ,6 ,19.5 ,6 ,19.5 ,O O 0 ,1 O ,4 ,3 7 ,1 3 ,4 ,2 3 ,3 ,3 
Canete ,37003 ,20 ,54.0 ,8 ,21.6 ,8 ,21.6 ,O O 0 ,0 O ,O ,O 0 ,0 O ,O ,1 9 ,4 ,6 
Chiguayante ,91180 ,126 ,138.2 ,23 ,25.2 ,23 ,25.2 ,O 0 5 ,5 9 ,16 ,11 10 ,11 8 ,6 ,7 7 ,22 ,9 
Concepcion' ,238092 ,385 ,161.7 ,93 ,39.1 ,92 ,38.6 ,1 1 6 ,28 28 ,23 ,21 18 ,14 19 ,18 ,19 83 ,78 ,28 
Contulmo ,6330 ,1 ,15.8 ,1 ,15.8 ,1 ,15.8 ,0 0 0 ,0 O ,O ,0 0 ,0 0 ,0 ,0 0 ,1 ,O 
Coronel ,125829 ,216 ,171.7 ,101 ,80.3 ,100 ,79.5 ,O O 1 ,6 6 ,4 ,1 0 ,5 2 ,14 ,14 49 ,98 ,16 
Curanilahue ,33892 ,13 ,38.4 ,4 ,11.8 ,4 ,11.8 ,O O O ,1 O ,O ,O O ,O 1 ,3 ,O 2 ,4 ,2 
Florida ,11841 ,5 ,42.2 ,O ,0.0 ,O ,0.0 ,O O 0 ,0 2 ,1 ,O O ,0 O ,1 ,O 1 ,O ,O 
Hualpen & ,97273 ,184 ,189.2 ,26 ,26.7 ,26 ,26.7 ,0 0 3 ,24 33 ,26 ,17 8 ,2 5 ,11 ,9 14 ,27 ,5 
Hualqui ,26201 ,50 ,190.8 ,9 ,34.3 ,9 ,34.3 ,O O 1 ,1 2 ,3 ,4 9 ,O 1 ,2 ,4 12 ,7 ,4 
Laja ,23873 ,67 ,280.7 ,8 ,33.5 ,8 ,33.5 ,O 1 1 ,O 3 ,1 ,1 1 ,5 1 ,17 ,20 8 ,7 ,1 
Lebu ,27100 ,8 ,29.5 ,6 ,22.1 ,6 ,22.1 ,0 O 0 ,0 O ,0 ,0 0 ,0 1 ,1 ,0 0 ,5 ,1 
Los Alamos ,22524 ,3 ,13.3 ,1 ,4.4 ,1 ,4.4 ,0 0 0 ,0 O ,O ,1 O ,0 0 ,O ,1 O ,1 ,O 
Los Angeles ,218515 ,327 ,149.6 ,95 ,43.5 ,95 ,43.5 ,O O 4 ,7 9 ,6 ,5 4 ,O 3 ,32 ,62 89 ,72 ,34 
Lota ,45750 ,70 ,153.0 ,27 ,59.0 ,27 ,59.0 ,O O 0 ,1 O ,O ,0 0 ,0 1 ,16 ,9 14 ,19 ,10 
Mulchen ,31041 ,24 ,77.3 ,12 ,38.7 ,12 ,38.7 ,O O 0 ,1 4 ,O ,0 0 ,0 2 ,3 ,1 1 ,11 ,1 
