,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE 15 ,SE 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 
Antofagasta ,425725 ,1395 ,327.7 ,241 ,56.6 ,239 ,56.1 ,O 1 2 28 31 42 ,58 ,106 ,159 213 294 ,271 ,170 20 
Calama8 ,190336 ,415 ,218.0 ,101 ,53.1 ,98 ,51.5 ,1 1 2 3 2 7 ,14 ,16 ,37 47 77 ,153 ,55 O 
Maria Elena ,6814 ,154 ,2260.1 ,17 ,249.5 ,17 ,249.5 ,1 O 0 O O O ,5 ,9 ,16 42 42 ,29 ,9 1 
Mejillones ,14776 ,244 ,1651.3 ,17 ,115.1 ,17 ,115.1 ,O O 0 O 1 8 ,15 ,18 ,30 75 45 ,45 ,7 O 
Ollague ,287 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O ,O ,O ,O O O ,O ,O O 
San Pedro de Atacama ,10434 ,8 ,76.7 ,4 ,38.3 ,4 ,38.3 ,O O 0 2 1 1 ,0 ,O ,O O O ,1 ,3 O 
Sierra Gorda ,1746 ,13 ,744.6 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 0 O ,0 ,O ,O 3 5 ,5 ,0 0 
Taltal ,13657 ,26 ,190.4 ,4 ,29.3 ,4 ,29.3 ,O O O O O 2 ,3 ,2 ,1 1 3 ,12 ,2 O 
Tocopilla ,28079 ,30 ,106.8 ,5 ,17.8 ,5 ,17.8 ,O O 0 2 O 4 ,5 ,O ,1 2 7 ,8 ,1 O 
Total ,691854 ,2285 ,330.3 ,389 ,56.2 ,384 ,55.5 ,2 2 4 35 35 64 ,100 ,151 ,244 383 473 ,524 ,247 21 
