,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE 16 17 18 ,SE SE SE SE SE 19 20 21 22 23 
Corral ,5447 ,13 ,238.7 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,O 0 0 ,1 0 0 ,6 4 2 O O 
Futrono ,15261 ,40 ,262.1 ,11 ,72.1 ,11 ,72.1 ,0 O O 1 ,3 1 O ,O O O ,1 5 19 8 2 
La Union ,39538 ,48 ,121.4 ,5 ,12.6 ,5 ,12.6 ,0 O 1 5 ,8 4 6 ,9 4 2 ,1 2 1 4 1 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,0 O O 1 ,1 0 0 ,O 0 0 ,O O O O O 
Lanco ,17652 ,9 ,51.0 ,0 ,0.0 ,0 ,0.0 ,0 O O O ,1 2 1 ,2 O 3 ,O 0 O 0 O 
Los Lagos ,20518 ,23 ,112.1 ,15 ,73.1 ,15 ,73.1 ,0 O O 0 ,O O O ,O O O ,O 1 12 10 O 
Mafil ,7389 ,3 ,40.6 ,O ,0.0 ,0 ,0.0 ,0 O O 1 ,O 0 O ,1 O O ,O 1 O O O 
Mariquina ,23250 ,16 ,68.8 ,2 ,8.6 ,2 ,8.6 ,0 O O 3 ,1 4 1 ,O O O ,2 1 3 1 O 
Paillaco ,20798 ,25 ,120.2 ,5 ,24.0 ,5 ,24.0 ,0 O O 1 ,O O O ,O O 0 ,O 8 13 3 O 
Panguipulli ,35991 ,21 ,58.3 ,13 ,36.1 ,13 ,36.1 ,0 O 0 O ,O 0 0 ,O 0 1 ,0 4 4 8 4 
Rio Bueno ,32925 ,16 ,48.6 ,2 ,6.1 ,2 ,6.1 ,O O O 3 ,1 2 2 ,1 2 1 ,O O 3 1 O 
Valdivia& ,176774 ,182 ,103.0 ,23 ,13.0 ,23 ,13.0 ,0 1 1 25 ,33 25 18 ,8 8 4 ,2 8 29 18 2 
Total ,405835 ,398 ,98.1 ,76 ,18.7 ,76 ,18.7 ,0 1 2 40 ,48 38 28 ,22 14 11 ,12 34 86 53 9 
