,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,2848 ,1.8 ,469.6 ,2580 ,1.7 ,441.9 ,5428 ,1.8 ,456.0 
05 09 anos ,2210 ,1.4 ,338.5 ,2087 ,1.4 ,331.5 ,4297 ,1.4 ,335.1 
10 14 anos ,2517 ,1.6 ,390.9 ,2625 ,1.8 ,422.4 ,5142 ,1.7 ,406.4 
15 19 anos ,4547 ,2.8 ,709.8 ,5188 ,3.5 ,837.5 ,9735 ,3.1 ,772.6 
20 24 anos ,12487 ,7.8 ,1703.5 ,12323 ,8.3 ,1735.2 ,24810 ,8.0 ,1719.1 
25 29 anos ,20041 ,12.5 ,2393.4 ,19455 ,13.0 ,2396.5 ,39496 ,12.8 ,2394.9 
30 34 anos ,20423 ,12.8 ,2520.6 ,18140 ,12.2 ,2307.9 ,38563 ,12.5 ,2415.9 
35 39 anos ,16979 ,10.6 ,2340.8 ,14520 ,9.7 ,2045.4 ,31499 ,10.2 ,2194.7 
40 44 anos ,14126 ,8.8 ,2091.8 ,12174 ,8.2 ,1812.4 ,26300 ,8.5 ,1952.5 
45 49 anos ,13692 ,8.6 ,2169.4 ,12801 ,8.6 ,1999.0 ,26493 ,8.6 ,2083.6 
50 54 anos ,13105 ,8.2 ,2180.4 ,12066 ,8.1 ,1935.6 ,25171 ,8.1 ,2055.7 
55 59 anos ,12326 ,7.7 ,2221.5 ,10934 ,7.3 ,1851.3 ,23260 ,7.5 ,2030.6 
60 64 anos ,9128 ,5.7 ,1937.9 ,7632 ,5.1 ,1472.3 ,16760 ,5.4 ,1694.0 
65 69 anos ,5719 ,3.6 ,1509.3 ,5003 ,3.4 ,1148.3 ,10722 ,3.5 ,1316.2 
70 74 anos ,3995 ,2.5 ,1512.8 ,3772 ,2.5 ,1181.3 ,7767 ,2.5 ,1331.4 
75 79 anos ,2735 ,1.7 ,1550.5 ,2858 ,1.9 ,1203.9 ,5593 ,1.8 ,1351.7 
80 y mas anos ,3240 ,2.0 ,1648.7 ,5080 ,3.4 ,1450.1 ,8320 ,2.7 ,1521.5 
Total ,160118 ,100 ,1668.1 ,149238 ,100 ,1513.7 ,309356 ,100 ,1589.8 
