,,,,,,,,Numerode,Casos,segun,Fechade,Iniciode,Sintomas,(segun,semana,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 19 
Antartica ,137 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,O ,O ,0 ,O ,O ,0 ,0 0 
Cabo de Hornos ,1983 ,19 ,958.1 ,O ,0.0 ,O ,0.0 ,O O ,2 ,7 ,7 ,1 ,2 ,O ,0 ,O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,0 ,O ,O ,O ,O ,O ,O O 
Natales ,23782 ,8 ,33.6 ,O ,0.0 ,O ,0.0 ,0 O ,1 ,3 ,2 ,0 ,2 ,O ,0 ,O O 
Porvenir ,7323 ,8 ,109.2 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,3 ,1 ,2 ,2 ,0 ,O 0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,0 ,1 ,O ,0 ,O 0 
Punta Arenas ,141984 ,744 ,524.0 ,116 ,81.7 ,116 ,81.7 ,2 1 ,6 ,62 ,121 ,145 ,151 ,130 ,73 ,53 0 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,O ,O ,O ,O O 
San Gregorio ,681 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O ,0 ,O ,O ,0 ,0 ,O ,O ,O 0 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 ,0 ,0 ,O ,0 ,0 ,O ,0 ,O 0 
Torres del Paine & ,1021 ,1 ,97.9 ,0 ,0.0 ,0 ,0.0 ,O 0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 0 
Total ,178362 ,781 ,437.9 ,116 ,65.0 ,116 ,65.0 ,2 1 ,9 ,72 ,133 ,147 ,158 ,133 ,73 ,53 0 
