,,,CasosAcumulados,,,Casos,Tasaincidencia,Tasamortalidad,Tasa
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Total ,Fallecidos ,acumulada ,acumulada ,Letalidad 
Region de Arica y Parinacota ,252110 ,1772 ,1 ,57 ,1830 ,22 ,725.9 ,8.7 ,1.2% 
Region de Tarapaca ,382773 ,5826 ,296 ,160 ,6282 ,102 ,1641.2 ,26.6 ,1.6% 
Region de Antofagasta ,691854 ,8896 ,99 ,422 ,9417 ,165 ,1361.1 ,23.8 ,1.8% 
Region de Atacama ,314709 ,1085 ,26 ,49 ,1160 ,2 ,368.6 ,0.6 ,0.2% 
Region de Coquimbo ,836096 ,2977 ,153 ,370 ,3500 ,28 ,418.6 ,3.3 ,0.8% 
Region de Valparaiso ,1960170 ,11517 ,343 ,3172 ,15032 ,272 ,766.9 ,13.9 ,1.8% 
Region Metropolitana de Santiago ,8125072 ,201291 ,19296 ,23674 ,244261 ,5611 ,3006.3 ,69.1 ,2.3% 
Region del Libertador General Bernardo OHiggins ,991063 ,6116 ,169 ,1050 ,7335 ,81 ,740.1 ,8.2 ,1.1% 
Region de Maule ,1131939 ,5645 ,43 ,397 ,6085 ,56 ,537.6 ,4.9 ,0.9% 
Region del Nuble ,511551 ,2400 ,0 ,435 ,2835 ,39 ,554.2 ,7.6 ,1.4% 
Region de Biobio ,1663696 ,6680 ,183 ,868 ,7731 ,62 ,464.7 ,3.7 ,0.8% 
Region de la Araucania ,1014343 ,3228 ,8 ,130 ,3366 ,59 ,331.8 ,5.8 ,1.8% 
Region de Los Rios ,405835 ,701 ,6 ,52 ,759 ,10 ,187.0 ,2.5 ,1.3% 
Region de Los Lagos ,891440 ,1648 ,25 ,131 ,1804 ,23 ,202.4 ,2.6 ,1.3% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,42 ,0 ,1 ,43 ,O ,40.1 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1391 ,68 ,12 ,1471 ,22 ,824.7 ,12.3 ,1.5% 
Desconocida ,- ,0 ,112 ,0 ,112 ,0 ,-- ,-- ,0.0% 
Total pais ,19458310 ,261215 ,20828 ,30980 ,313023 ,6554 ,1608.7 ,33.7 ,2.1% 
